pmcid,pmid,doi,created
PMC2114808,2821011,10.1083/jcb.105.3.1215,1987-09-01
PMC2114809,2821010,10.1083/jcb.105.3.1205,1987-09-01
PMC2115043,2836431,10.1083/jcb.106.5.1475,1988-05-01
PMC2115162,2839521,10.1083/jcb.107.1.69,1988-07-01
PMC2115309,2846584,10.1083/jcb.107.5.1697,1988-11-01
PMC2115421,2537312,10.1083/jcb.108.2.277,1989-02-01
PMC2115513,2647766,10.1083/jcb.108.4.1363,1989-04-01
PMC2115535,2565905,10.1083/jcb.108.5.1647,1989-05-01
PMC2115569,2654138,10.1083/jcb.108.5.1637,1989-05-01
PMC2115698,3198691,10.1083/jcb.107.6.2363,1988-12-01
PMC2115831,2553746,10.1083/jcb.109.5.2405,1989-11-01
PMC2115898,2557353,10.1083/jcb.109.6.3325,1989-12-01
PMC2115992,2295680,10.1083/jcb.110.1.1,1990-01-01
PMC2116277,2167897,10.1083/jcb.111.3.1183,1990-09-01
PMC2116283,2391367,10.1083/jcb.111.3.867,1990-09-01
PMC2116293,2167898,10.1083/jcb.111.3.893,1990-09-01
PMC2118742,1985125,10.1084/jem.173.1.37,1991-01-01
PMC2119224,1569393,10.1084/jem.175.5.1195,1992-05-01
PMC2119354,1324969,10.1084/jem.176.3.689,1992-09-01
PMC2119439,1402670,10.1084/jem.176.5.1251,1992-11-01
PMC2119546,8381121,10.1083/jcb.120.3.631,1993-02-01
PMC2119557,8486734,10.1083/jcb.121.3.521,1993-05-01
PMC2119699,8509444,10.1083/jcb.121.6.1197,1993-06-01
PMC2119726,7679672,10.1083/jcb.120.5.1093,1993-03-01
PMC2119736,8436587,10.1083/jcb.120.5.1123,1993-03-01
PMC2119759,8449979,10.1083/jcb.120.6.1321,1993-03-01
PMC2119850,8397214,10.1083/jcb.122.6.1185,1993-09-01
PMC2119890,8294506,10.1083/jcb.124.1.55,1994-01-01
PMC2120028,8163544,10.1083/jcb.125.2.253,1994-04-01
PMC2120032,8163543,10.1083/jcb.125.2.239,1994-04-01
PMC2120086,8027188,10.1083/jcb.126.1.77,1994-07-01
PMC2120087,8027183,10.1083/jcb.126.1.25,1994-07-01
PMC2120216,7929580,10.1083/jcb.127.2.343,1994-10-01
PMC2120240,7962051,10.1083/jcb.127.3.667,1994-11-01
PMC2120273,7806564,10.1083/jcb.127.6.1843,1994-12-01
PMC2120279,7798312,10.1083/jcb.127.6.1557,1994-12-01
PMC2120588,7559786,10.1083/jcb.131.1.57,1995-10-01
PMC2120767,8601597,10.1083/jcb.132.6.985,1996-03-01
PMC2120888,8707815,10.1083/jcb.134.2.279,1996-07-01
PMC2121027,8858160,10.1083/jcb.135.1.19,1996-10-01
PMC2121066,8909538,10.1083/jcb.135.3.623,1996-11-01
PMC2132526,9182658,10.1083/jcb.137.6.1229,1997-06-01
PMC2132625,9396747,10.1083/jcb.139.6.1411,1997-12-01
PMC2132786,9628890,10.1083/jcb.141.6.1335,1998-06-01
PMC2132897,9922453,10.1083/jcb.144.2.267,1999-01-01
PMC2133957,8991095,10.1083/jcb.135.6.1841,1996-12-01
PMC2134822,9015300,10.1083/jcb.136.2.287,1997-01-01
PMC2136532,13271673,10.1084/jem.102.5.581,1955-11-01
PMC2136741,13449230,10.1084/jem.106.2.179,1957-08-01
PMC2137639,14030664,10.1084/jem.117.5.781,1963-05-01
PMC2138039,9265642,10.1083/jcb.138.4.731,1997-08-01
PMC2138373,4289738,10.1084/jem.125.4.537,1967-04-01
PMC2138776,4317220,10.1084/jem.131.4.851,1970-04-01
PMC2138781,4317219,10.1084/jem.131.4.843,1970-04-01
PMC2148452,9548715,10.1083/jcb.141.2.359,1998-04-01
PMC2174331,11381082,10.1083/jcb.153.5.957,2001-05-01
PMC2174547,10704444,10.1083/jcb.148.5.931,2000-03-01
PMC2180621,67173,10.1084/jem.145.4.892,1977-04-01
PMC2186118,6265581,10.1084/jem.153.3.732,1981-03-01
PMC2186133,6265583,10.1084/jem.153.4.832,1981-04-01
PMC2186492,6270227,10.1084/jem.154.4.1150,1981-10-01
PMC2187068,6345713,10.1084/jem.158.1.1,1983-07-01
PMC2188172,2358786,10.1084/jem.172.1.85,1990-07-01
PMC2188233,3088208,10.1084/jem.164.2.562,1986-08-01
PMC2188595,1698910,10.1084/jem.172.4.1127,1990-10-01
PMC2188644,3036995,10.1084/jem.166.1.259,1987-07-01
PMC2189060,2580038,10.1084/jem.161.4.718,1985-04-01
PMC2189285,2647891,10.1084/jem.169.3.1031,1989-03-01
PMC2190139,175127,10.1084/jem.143.3.690,1976-03-01
PMC2190814,1901078,10.1084/jem.173.4.801,1991-04-01
PMC2191081,8315394,10.1084/jem.178.1.49,1993-07-01
PMC2191380,8294885,10.1084/jem.179.2.769,1994-02-01
PMC2191627,8064222,10.1084/jem.180.3.1013,1994-09-01
PMC2192190,7595201,10.1084/jem.182.5.1301,1995-11-01
PMC2192914,9927507,10.1084/jem.189.3.451,1999-02-01
PMC2193284,10993917,10.1084/jem.192.6.871,2000-09-01
PMC2193438,11435470,10.1084/jem.194.1.29,2001-07-01
PMC2195568,10432280,10.1084/jem.190.2.169,1999-07-01
PMC2195581,10430622,10.1084/jem.190.3.331,1999-08-01
PMC2196344,9166429,10.1084/jem.185.11.1997,1997-06-01
PMC2196376,8976191,10.1084/jem.184.6.2371,1996-12-01
PMC2199941,7615632,10.1083/jcb.130.2.285,1995-07-01
PMC2199982,7593163,10.1083/jcb.131.2.339,1995-10-01
PMC2200012,7490293,10.1083/jcb.131.4.913,1995-11-01
PMC2200014,7490291,10.1083/jcb.131.4.875,1995-11-01
PMC2200027,8034737,10.1083/jcb.126.2.317,1994-07-01
PMC2200096,8385670,10.1083/jcb.121.2.283,1993-04-01
PMC2200098,8468347,10.1083/jcb.121.2.269,1993-04-01
PMC2288887,1847928,10.1083/jcb.112.5.843,1991-03-01
PMC2289003,1710224,10.1083/jcb.113.5.1009,1991-06-01
PMC2289203,1757460,10.1083/jcb.115.6.1505,1991-12-01
PMC2289207,1757461,10.1083/jcb.115.6.1521,1991-12-01
PMC2289244,1955486,10.1083/jcb.115.5.1463,1991-12-01
PMC2289363,1740467,10.1083/jcb.116.5.1081,1992-03-01
PMC2289426,1560026,10.1083/jcb.117.2.245,1992-04-01
PMC2289447,1572894,10.1083/jcb.117.3.539,1992-05-01
PMC2289488,1577870,10.1083/jcb.117.5.949,1992-06-01
PMC2289574,1500424,10.1083/jcb.118.4.795,1992-08-01
PMC2289601,1522109,10.1083/jcb.118.6.1305,1992-09-01
PMC2289628,1527174,10.1083/jcb.119.1.69,1992-10-01
PMC2289743,1469044,10.1083/jcb.119.6.1459,1992-12-01
PMC2289754,1281815,10.1083/jcb.119.6.1441,1992-12-01
PMC2289920,1655802,10.1083/jcb.115.1.19,1991-10-01
PMC2290050,1378445,10.1083/jcb.118.2.253,1992-07-01
PMC2290952,8089174,10.1083/jcb.126.6.1407,1994-09-01
PMC2291173,7790351,10.1083/jcb.129.6.1509,1995-06-01
PMC2687921,19753294,NA,2009-01-01
PMC2702078,19565018,NA,2008-11-27
PMC2765774,19946398,NA,2009-07-07
PMC3074093,21487571,10.7150/ijms.8.270,2011-04-07
PMC3113223,21673948,NA,2007-12-04
PMC3157269,21850204,10.7150/ijbs.7.947,2011-08-07
PMC3201003,22073054,NA,2005-09-28
PMC3221370,22110386,10.7150/ijbs.7.1345,2011-11-01
PMC3468988,23113174,NA,2012-05-31
PMC3481691,23113048,NA,2010-12-31
PMC3481713,23113146,NA,2012-03-31
PMC3601075,23515229,NA,2012-12-31
PMC3614188,23577043,NA,2012-01-01
PMC3768995,24031808,10.1590/S1517-838220120001000011,2012-01-01
PMC3769032,24031996,10.1590/S1517-838220120004000049,2012-06-01
PMC3970591,23903975,10.1590/0074-0276108052013010,2013-08-01
PMC4085092,25009682,NA,2014-02-11
PMC4139753,25147589,10.4321/s1886-36552009000100004,2009-01-01
PMC4155143,25214911,10.4321/s1886-36552007000100001,2007-01-01
PMC4198843,25324616,10.3969/j.issn.1002-0829.2012.03.001,2012-06-01
PMC4246845,25436208,NA,2014-01-01
PMC4301222,25664303,NA,2014-09-22
PMC4332998,25699286,10.17795/nmsjournal22357,2014-09-20
PMC4353274,25798159,10.1155/2015/371840,2015-01-01
PMC4362136,NA,NA,2014-01-01
PMC4362149,25399211,NA,2014-11-01
PMC4362160,25491209,NA,2014-12-01
PMC4556179,26361486,10.1155/2015/274569,2015-07-01
PMC4614609,26512362,NA,2015-01-01
PMC4631129,26566382,NA,2015-01-01
PMC4644002,26600807,10.1155/2015/656932,2015-09-01
PMC4715417,26793650,NA,2015-09-08
PMC4718311,25902573,NA,2014-09-01
PMC4718316,26137785,NA,2014-12-01
PMC4745090,26866060,NA,2016-01-01
PMC4837812,NA,NA,2015-01-01
PMC4948166,27621980,NA,2015-01-01
PMC4975254,27683418,NA,2012-10-12
PMC5008133,27585028,NA,2016-08-01
PMC5038994,27683650,NA,2016-09-05
PMC5045143,27698618,NA,2016-09-30
PMC5048125,27746871,NA,2016-08-01
PMC5054515,NA,NA,2016-05-01
PMC5187644,28058199,10.21106/ijma.100,2016-01-01
PMC5337467,28090052,10.2169/internalmedicine.56.7239,2017-01-15
PMC5344362,28277203,NA,2017-02-01
PMC5447183,NA,NA,2017-04-01
PMC5473057,28630560,NA,2017-06-01
PMC5669506,29114190,NA,2017-11-01
PMC5840604,29506344,10.3904/kjim.2018.031,2018-02-27
PMC5840605,29506345,10.3904/kjim.2018.036,2018-02-27
PMC5971196,NA,NA,2005-12-02
PMC6048375,30018504,10.5851/kosfa.2018.38.3.615,2018-07-31
PMC6146581,30197422,10.14639/0392-100X-1743,2018-08-01
PMC6159381,29619807,NA,2018-04-05
PMC6198162,30357063,10.30466/vrf.2018.32089,2018-09-15
PMC6201038,NA,NA,2018-10-01
PMC6247124,30479600,NA,2018-11-07
PMC6247136,30479597,NA,2018-11-07
PMC6274668,NA,NA,2018-01-01
PMC6344663,NA,NA,2018-01-01
PMC6402468,NA,NA,2019-02-01
PMC6500415,31073252,NA,2019-04-27
PMC6502078,30715030,10.23750/abm.v90i2-S.8103,2019-01-14
PMC6506662,NA,NA,2019-01-01
PMC6548112,31172124,10.22114/AJEM.v0i0.121,2019-01-14
PMC6663043,31410357,10.12890/2019_001155,2019-07-12
PMC6708098,31456964,10.34171/mjiri.33.40,2019-05-08
PMC6734950,31508015,NA,2010-01-01
PMC6797893,31650049,10.15167/2421-4248/jpmh2019.60.3.1314,2019-09-30
PMC6865078,31777763,10.15167/2421-4248/jpmh2019.60.3s1,2019-10-15
PMC1074505,15912185,10.7150/ijms.1.1,2004-03-10
PMC1241591,12842794,10.1289/ehp.111-a464,2003-07-01
PMC1241623,12896863,10.1289/ehp.111-a506,2003-08-01
PMC1241627,12896870,10.1289/ehp.111-a524,2003-08-01
PMC1241811,14698949,10.1289/ehp.112-a32,2004-01-01
PMC1435713,16164820,NA,2005-09-15
PMC1474450,NA,NA,1987-11-01
PMC1518840,7614952,10.2307/3432454,1995-03-01
PMC1519403,NA,NA,1993-04-01
PMC1532946,9417771,10.1289/ehp.9810627,1998-01-01
PMC1566363,10229718,10.2307/3434483,1999-02-01
PMC1568352,2200664,10.2307/3430687,1990-04-01
PMC1568898,6977445,10.1289/ehp.43-1568898,1982-02-01
PMC2071161,13899183,10.1038/bjc.1961.63,1961-09-01
PMC2259152,17132343,NA,2005-10-01
PMC2259158,17132344,NA,2005-10-01
PMC2259160,17132341,NA,2005-10-01
PMC2259162,17132337,NA,2005-10-01
PMC2259163,17132340,NA,2005-10-01
PMC2528209,18488427,10.2147/copd.s1089,2008-01-01
PMC2589215,2672617,NA,1989-03-01
PMC2589218,2672623,NA,1989-03-01
PMC2589374,2293506,NA,1990-09-01
PMC2589507,1814063,NA,1991-09-01
PMC2595130,4617423,NA,1974-12-01
PMC2595834,6155006,NA,1980-01-01
PMC2595836,6990636,NA,1980-01-01
PMC2596456,7180025,NA,1982-05-01
PMC2627973,10653567,10.3201/eid0601.000106,2000-01-01
PMC2629987,18990961,10.2147/copd.s681,2008-01-01
PMC2631702,11294707,10.3201/eid0702.010210,2001-03-01
PMC2631705,11294721,10.3201/eid0702.010224,2001-03-01
PMC2631706,11294717,10.3201/eid0702.010220,2001-03-01
PMC2635700,19325770,10.3390/ijms9040571,2008-04-16
PMC2672801,19436697,10.2147/copd.s4801,2009-04-15
PMC2692115,18044060,10.2147/copd.2007.2.1.5,2007-01-01
PMC270692,12793868,10.1186/cc2328,2003-05-08
PMC270701,12930546,10.1186/cc2336,2003-05-29
PMC270703,12930550,10.1186/cc2347,2003-07-03
PMC2709019,19668576,10.2147/opth.s5356,2009-06-02
PMC2721300,19707325,NA,2007-06-01
PMC2725817,17370538,10.3201/eid1301.060824,2007-01-01
PMC2769243,19920935,10.2147/dddt.s2750,2009-09-21
PMC2774646,19755008,NA,2009-09-15
PMC2835915,20716914,10.4161/oxim.2.5.9498,2009-11-01
PMC2840576,20360883,10.2147/ijgm.s4843,2009-07-30
PMC2851528,18258020,10.3201/eid1310.070383,2007-10-01
PMC2851539,18257985,10.3201/eid1013.070732,2007-10-01
PMC2857308,NA,10.3201/eid1309.000000,2007-09-01
PMC2897854,20613909,NA,2010-07-01
PMC2915555,20694182,10.2147/ppa.s10961,2010-07-21
PMC2928092,19902801,10.3329/jhpn.v27i5.3642,2009-10-01
PMC3004550,21197329,10.2147/jmdh.s3019,2008-05-01
PMC3004603,21197356,10.2147/jmdh.s11127,2010-07-07
PMC3155220,21901073,NA,2007-08-09
PMC3155236,21901058,NA,2007-02-05
PMC3155237,21901072,NA,2007-07-20
PMC3270909,22312204,10.2147/rmhp.s4810,2009-01-29
PMC3291226,16965707,10.3201/eid1208.060213,2006-08-01
PMC3298267,15757557,10.3201/eid1103.040675,2005-03-01
PMC3322802,15109402,10.3201/eid1003.030702,2004-03-01
PMC3323309,15338536,10.3201/eid1007.040090,2004-07-01
PMC3323337,15338533,10.3201/1007.030608,2004-07-01
PMC3358185,21749768,10.3201/eid1706.100643,2011-06-01
PMC3358191,21749760,10.3201/eid1706.101030,2011-06-01
PMC3371787,16022774,10.3201/eid1107.050219,2005-07-01
PMC3371825,16229762,10.3201/eid1109.041344,2005-09-01
PMC3673406,27879810,10.3390/s8042043,2008-03-27
PMC3739498,23876382,10.3201/eid.1908.130074,2013-08-01
PMC374374,14624674,10.1186/cc2378,2003-09-26
PMC374381,14624673,10.1186/cc2389,2003-10-10
PMC3833237,20534904,10.3233/DMA-2010-0706,2010-01-01
PMC3833409,20534906,10.3233/DMA-2010-0707,2010-01-01
PMC4204951,25477947,10.1590/s1517-83822014000300043,2014-10-09
PMC4456826,26078595,NA,2013-01-01
PMC4456836,26078612,NA,2014-01-01
PMC4584540,25503920,NA,2014-12-01
PMC4584559,25632953,NA,2015-01-01
PMC4584593,26270063,10.15585/mmwr.mm6431a6,2015-08-01
PMC4584752,25321072,NA,2014-10-01
PMC4584897,24476978,NA,2014-01-01
PMC4584898,24476979,NA,2014-01-01
PMC4584913,25272402,NA,2014-08-01
PMC4585538,24067584,NA,2013-09-01
PMC4604800,24133698,NA,2013-08-01
PMC4604826,23486385,NA,2013-03-01
PMC4604848,23760190,NA,2013-06-01
PMC4604937,23698605,NA,2013-05-01
PMC4604945,23842446,NA,2013-07-01
PMC4833746,27092229,NA,2016-02-01
PMC4841994,27114729,NA,2015-01-01
PMC4962925,NA,10.11124/jbisrir-2013-801,2013-02-01
PMC4967842,27516987,NA,2016-07-01
PMC5277600,28149491,NA,2016-10-01
PMC5359858,28377900,NA,2017-01-01
PMC544536,15634375,NA,2003-12-15
PMC5543364,28815119,NA,2017-07-26
PMC5733252,29302647,10.21010/ajid.v12i1.5,2017-11-15
PMC5779384,NA,NA,2014-06-27
PMC5779396,24739343,NA,2014-04-01
PMC5779407,24827411,NA,2014-05-01
PMC5779488,NA,NA,2014-11-07
PMC5811935,29487465,10.4314/ejhs.v27i6.1,2017-11-01
PMC7040346,32127888,10.4314/ahs.v19i4.34,2019-12-01
PMC6917531,31846608,10.2450/2019.0288-19,2019-11-01
PMC6834473,31720079,NA,2019-10-01
PMC6774462,31547903,NA,2019-09-01
PMC6755768,31572047,10.4103/jfcm.JFCM_4_19,2019-09-01
PMC6615436,31355825,10.45745/ccdr.v45i78a05,2019-07-04
PMC6686066,31448313,NA,2019-07-01
PMC6715335,31531161,NA,2019-07-01
PMC6615119,31334259,10.4103/jehp.jehp_391_18,2019-06-27
PMC6556653,31217876,NA,2019-05-15
PMC6744003,31068279,10.12122/j.issn.1673-4254.2019.04.01,2019-04-01
PMC6526376,31149327,NA,2019-04-15
PMC6450166,31097871,NA,2019-04-01
PMC6417607,30992598,NA,2019-04-01
PMC6590944,31334280,NA,2019-04-01
PMC6765671,31068316,10.12122/j.issn.1673-4254.2019.03.10,2019-03-01
PMC6340311,30705449,NA,2019-02-01
PMC6340255,30705456,NA,2019-02-01
PMC6340254,30705455,NA,2019-02-01
PMC6509913,31191702,NA,2019-01-01
PMC6496987,NA,10.4103/JETS.JETS_1_19,2019-01-01
PMC6237255,30532289,NA,2018-12-01
PMC6237253,NA,NA,2018-12-01
PMC6190180,30410181,NA,2018-11-01
PMC6291295,30384330,NA,2018-09-01
PMC6135143,30209091,NA,2018-09-01
PMC6159684,30236173,NA,2018-09-01
PMC6129523,30210685,NA,2018-08-15
PMC6049326,30104776,NA,2018-08-01
PMC6334759,30662097,10.1111/rssc.12266,2018-07-18
PMC6145473,30245547,NA,2018-07-01
PMC5949948,29910479,NA,2018-06-01
PMC6959216,31938014,NA,2018-05-01
PMC6056203,29967548,10.14639/0392-100X-suppl.1-38-2018,2018-04-01
PMC5931074,29736048,NA,2018-03-01
PMC5855290,29606732,NA,2018-04-01
PMC5897970,29663939,NA,2018-04-01
PMC5883129,29636878,NA,2018-03-15
PMC5868381,29555004,NA,2018-03-01
PMC5801349,29422996,NA,2018-01-15
PMC5764041,29382967,NA,2018-01-01
PMC5960765,29805455,NA,2018-01-01
PMC6198820,30364752,NA,2018-01-01
PMC5737627,29218876,NA,2018-01-01
PMC5752906,29312508,NA,2017-12-15
PMC5680732,29203935,NA,2017-12-01
PMC5710155,29256371,NA,2017-11-01
PMC5710153,29256369,NA,2017-11-01
PMC6824915,28976850,10.1056/NEJMoa1708120,2017-10-04
PMC5603942,28966357,NA,2017-10-01
PMC5819039,29434071,10.4103/ijmr.IJMR_301_16,2017-10-01
PMC5618832,28979007,10.4103/ijd.IJD_379_17,2017-09-01
PMC5618830,28979005,10.4103/ijd.IJD_389_17,2017-09-01
PMC5605184,28903831,NA,2017-09-01
PMC5605182,28903829,NA,2017-09-01
PMC5629340,28851744,10.1534/genetics.117.300211,2017-08-29
PMC5508940,28761185,NA,2017-08-01
PMC5539668,28808646,10.4103/2277-9175.210659,2017-07-14
PMC5586132,28904469,10.4103/aian.AIAN_52_17,2017-07-01
PMC6707717,28598140,10.23736/S0392-9590.17.03854-8,2017-06-09
PMC5432143,28588327,NA,2017-06-01
PMC5482510,28662747,NA,2017-06-01
PMC5674437,29163643,NA,2017-01-01
PMC5565793,28368491,10.1093/infdis/jix148,2017-05-01
PMC5394613,28487597,NA,2017-05-01
PMC5394601,28487589,NA,2017-05-01
PMC5650023,NA,NA,2017-05-01
PMC5426109,28566972,10.4103/2230-8229.205119,2017-05-01
PMC5389751,28404695,NA,2017-04-01
PMC5370535,28408777,NA,2017-04-01
PMC5402733,28381314,NA,2017-03-01
PMC5376019,28386354,NA,2017-03-15
PMC5395397,28209691,NA,2017-02-01
PMC5395370,28209665,NA,2017-02-01
PMC5501050,28639594,10.4103/ijmr.IJMR_840_15,2017-02-01
PMC5226018,28090400,NA,2017-01-01
PMC5250497,28905717,NA,2017-01-01
PMC6258086,30498287,NA,2017-01-01
PMC5849268,29545673,NA,2017-01-01
PMC5154655,27965340,NA,2016-12-01
PMC5476991,28638751,NA,2016-12-01
PMC5114482,NA,10.2807/1560-7917.ES.2016.21.44.30387,2016-11-01
PMC5083078,27904303,NA,2016-11-01
PMC5073064,27780006,NA,2016-01-01
PMC5073063,27780005,NA,2016-01-01
PMC6373713,30766142,NA,2016-10-01
PMC5075231,27843420,NA,2016-10-01
PMC4982568,27587889,NA,2016-09-01
PMC4982565,27587886,NA,2016-09-01
PMC5029822,27657706,NA,2016-01-01
PMC4959614,27504062,NA,2016-08-01
PMC4963422,27471359,10.6515/ACS20150416A,2016-07-01
PMC4942318,27403740,10.2450/2016.0065-16,2016-07-01
PMC4924554,27408333,NA,2016-07-01
PMC4924552,27408331,NA,2016-07-01
PMC4937116,27453599,10.1177/0033354916662213,2016-07-01
PMC4937107,27453590,10.1177/0033354916662225,2016-07-01
PMC4907550,27302999,NA,2016-06-01
PMC4866665,27247460,NA,2016-06-01
PMC4975577,27100505,10.2741/4455,2016-06-01
PMC4891459,27347354,NA,2016-05-15
PMC4827746,27152043,NA,2016-05-01
PMC4827736,27152033,NA,2016-05-01
PMC4865696,27177568,NA,2016-01-01
PMC4865691,27177563,NA,2016-01-01
PMC4869079,27252566,10.1177/003335491613100312,2016-05-01
PMC5089813,27812536,10.15406/jlprr.2015.03.00076,2016-04-11
PMC5032840,27668297,NA,2016-04-01
PMC4781783,26674811,10.2450/2015.0131-15,2015-11-06
PMC4783637,27025810,NA,2016-03-01
PMC4731604,26889484,10.3978/j.issn.2305-5839.2015.10.06,2016-01-01
PMC4677617,26740705,NA,2016-01-01
PMC4677608,26740697,NA,2016-01-01
PMC4775441,26324044,10.2174/1568026615666150901114527,2016-01-01
PMC4747015,26817984,NA,2016-01-01
PMC4747014,26817983,NA,2016-01-01
PMC4747007,26817976,NA,2016-01-01
PMC4747006,26817975,NA,2016-01-01
PMC4920479,27376098,NA,2016-01-01
PMC4967028,27165405,10.2174/0929866523666160511151320,2016-01-01
PMC4681245,26678368,NA,2015-12-01
PMC4681242,26678365,NA,2015-12-01
PMC4829780,27081619,NA,2015-12-01
PMC4723736,26884891,NA,2015-11-15
PMC4765576,26958299,NA,2015-11-05
PMC4722838,26595729,10.1513/AnnalsATS.201503-153AW,2015-11-01
PMC4722834,26595738,10.1513/AnnalsATS.201502-088AW,2015-11-01
PMC4713659,26823873,NA,2015-11-01
PMC4713640,26823854,NA,2015-11-01
PMC4671790,26632784,NA,2015-11-01
PMC4694432,26770532,NA,2015-10-15
PMC4630547,26605324,10.3978/j.issn.2305-5839.2015.10.12,2015-10-01
PMC4572827,26483584,NA,2015-10-01
PMC4617332,26473345,NA,2015-10-01
PMC4659065,26629177,NA,2015-09-15
PMC4782677,27175205,NA,2015-01-01
PMC4587612,26424242,NA,2015-09-01
PMC4593036,26500365,NA,2015-09-01
PMC4716959,26870620,NA,2015-09-01
PMC4529839,26327733,10.1177/003335491513000517,2015-09-01
PMC4502852,26246630,NA,2015-08-01
PMC4536742,NA,NA,2015-08-01
PMC4445510,26130850,NA,2015-07-01
PMC4555721,26339393,NA,2015-07-01
PMC4521578,26224444,NA,2015-07-01
PMC4547580,26345122,10.1177/003335491513000407,2015-07-01
PMC4547575,26346994,10.1177/003335491513000401,2015-07-01
