doi,created
10.1038/s41368-020-0075-9,2020-03-03
10.1093/jtm/taaa022,2020-02-11
10.3390/jcm9030623,2020-02-27
10.1097/jcma.0000000000000270,2020-02-12
10.1097/cm9.0000000000000761,2020-02-25
10.1136/bmj.m606,2020-02-19
10.1097/cm9.0000000000000722,2020-02-06
10.3390/jcm9020601,2020-02-25
10.1093/jtm/taaa024,2020-02-25
10.14789/jmj.2020.66.1-en,2020-02-28
10.1093/clinchem/hvaa029,2020-01-28
10.4081/idr.2020.8516,2020-02-25
10.1097/cm9.0000000000000777,2020-03-02
10.1007/s13238-020-00693-y,2020-02-22
10.3390/jcm9020388,2020-02-03
10.1093/nsr/nwaa030,2020-02-18
10.3390/pathogens9020148,2020-02-24
10.1007/s00134-020-05985-9,2020-03-03
10.3390/jcm9020488,2020-02-11
10.1136/archdischild-2020-318996,2020-03-04
10.1016/s2214-109x(20)30065-6,2020-02-25
10.1097/cm9.0000000000000778,2020-03-02
10.1093/jtm/taaa030,2020-02-28
10.3390/jcm9020575,2020-02-25
10.1097/cm9.0000000000000783,2020-03-02
10.1002/emp2.12034,2020-02-22
10.1097/cm9.0000000000000775,2020-03-02
10.3390/jcm9020462,2020-02-07
10.1097/cm9.0000000000000744,2020-02-12
10.3390/v12020244,2020-02-24
10.35839/repis.4.1.613,2020-01-29
10.1016/j.jinf.2020.03.001,2020-03-20
10.1016/j.jinf.2020.03.004,2020-03-19
10.3390/jcm9030789,2020-03-19
10.1371/journal.pbio.0030089,2005-02-22
10.1186/cc2967,2004-10-15
10.1371/journal.pbio.0030156,2005-04-21
10.1186/1471-2458-5-30,2005-04-05
10.1186/1743-422x-2-35,2005-04-15
10.1186/1471-2105-6-90,2005-04-08
10.1186/1471-2334-5-26,2005-04-09
10.1371/journal.pbio.0030172,2005-05-10
10.1371/journal.pbio.0030199,2005-05-10
10.1371/journal.pmed.0020137,2005-05-25
10.1371/journal.pbio.0030213,2005-06-07
10.1186/1471-2164-6-73,2005-05-17
10.1186/1476-9255-2-4,2005-05-28
10.1186/1465-9921-6-42,2005-05-11
10.1186/1472-6947-5-17,2005-06-21
10.1186/1743-422x-2-49,2005-06-01
10.1371/journal.pmed.0020174,2005-07-13
10.1186/1471-2105-6-190,2005-07-28
10.1186/1743-422x-2-51,2005-06-21
10.1186/1471-2148-5-39,2005-06-29
10.1371/journal.pmed.0020240,2005-08-16
10.1371/journal.pmed.0020274,2005-08-16
10.1186/1743-422x-2-66,2005-08-20
10.1371/journal.pbio.0030353,2005-08-29
10.1186/1742-4690-2-49,2005-08-10
10.1186/1471-2466-5-11,2005-09-02
10.1186/1744-8603-1-14,2005-08-04
10.1186/1478-4491-3-7,2005-08-11
10.1186/1743-422x-2-59,2005-08-04
10.1186/1471-2458-5-89,2005-08-26
10.1186/1743-422x-2-69,2005-08-24
10.1186/1743-422x-2-73,2005-08-27
10.1186/gb-2005-6-9-r78,2005-08-30
10.1186/1476-072x-4-22,2005-09-22
10.1289/ehp.7117,2004-07-27
10.1186/1479-0556-3-7,2005-08-24
10.1289/ehp.7491,2005-02-02
10.1186/1743-422x-2-70,2005-08-24
10.1186/1471-2334-5-73,2005-09-20
10.1186/1471-2164-6-132,2005-09-21
10.1186/1476-069x-4-21,2005-10-11
10.1186/cc3736,2005-06-22
10.1186/1472-6963-5-36,2005-05-11
10.1186/1471-2334-5-87,2005-10-19
10.1371/journal.pbio.0030428,2005-11-08
10.1371/journal.pmed.0030023,2005-11-14
10.1186/1472-6963-5-67,2005-11-02
10.1371/journal.ppat.0010039,2005-11-30
10.1371/journal.pbio.0040003,2005-12-09
10.1186/1471-2199-6-21,2005-11-17
10.1186/1471-213x-5-27,2005-12-03
10.1371/journal.pmed.0030001,2005-12-14
10.1186/1465-9921-6-135,2005-11-12
10.1371/journal.pmed.0030020,2005-12-27
10.1371/journal.pmed.0030027,2005-12-27
10.1371/journal.pmed.0030059,2005-12-27
10.1371/journal.pmed.0030076,2006-01-09
10.1371/journal.pmed.0030043,2006-01-18
10.1186/1471-2458-6-2,2006-01-23
10.1186/1471-2105-7-9,2006-01-23
10.1186/1471-2164-7-8,2006-01-23
10.1186/1472-6750-6-3,2006-01-23
10.1186/1471-2334-6-20,2006-02-10
10.1371/journal.ppat.0020009,2006-02-21
10.1371/journal.ppat.0020017,2006-02-21
10.1186/1746-6148-2-6,2006-02-04
10.1186/1743-422x-3-6,2006-02-04
10.1186/1740-2557-3-1,2006-02-24
10.1186/1744-8603-2-2,2006-02-04
10.1186/1475-2859-5-9,2006-03-10
10.1186/1471-2334-6-40,2006-03-10
10.1186/1472-6963-6-10,2006-02-17
10.1186/1742-4690-3-19,2006-04-20
10.1371/journal.pmed.0030194,2006-04-11
10.1371/journal.pmed.0030149,2006-04-10
10.1371/journal.pmed.0030222,2006-04-10
10.1186/1743-422x-3-17,2006-04-06
10.1186/1475-2859-5-14,2006-04-06
10.1371/journal.pmed.0030212,2006-04-26
10.1186/1471-2458-6-89,2006-04-20
10.1186/1472-6939-7-5,2006-04-20
10.1186/1475-2859-5-15,2006-04-20
10.1371/journal.pmed.0030177,2006-05-09
10.1186/1471-2334-6-82,2006-05-04
10.1186/1471-2164-7-117,2006-05-18
10.1186/1465-9921-7-74,2006-05-10
10.1186/1743-422x-3-39,2006-05-30
10.1186/1743-422x-3-21,2006-04-19
10.1371/journal.pmed.0030237,2006-06-23
10.1186/1472-6750-6-24,2006-04-27
10.1186/1743-422x-3-32,2006-05-23
10.1186/1744-8603-2-6,2006-04-20
10.1186/1742-7622-3-3,2006-05-04
10.1186/1471-2105-7-182,2006-04-19
10.1371/journal.pmed.0030242,2006-07-18
10.1186/1471-2105-7-232,2006-04-28
10.1371/journal.pcbi.0020081,2006-07-24
10.1186/1743-422x-3-41,2006-05-31
10.1186/1743-422x-3-45,2006-06-13
10.1186/ar1899,2006-02-10
10.1186/1465-9921-7-98,2006-07-12
10.1186/1465-9921-7-97,2006-07-08
10.1186/1471-2164-7-150,2006-06-14
10.1186/1471-2458-6-129,2006-05-10
10.1186/1475-2859-5-23,2006-06-23
10.1186/1471-2334-6-106,2006-07-06
10.1186/1471-2334-6-109,2006-07-12
10.1186/cc3916,2005-11-25
10.1186/cc4895,2006-04-20
10.1371/journal.pcbi.0020116,2006-08-29
10.1186/1472-6963-6-94,2006-08-05
10.1186/1746-4269-2-31,2006-09-05
10.1186/1471-2334-6-128,2006-08-09
10.1186/1471-2458-6-207,2006-08-15
10.1186/1742-7622-3-10,2006-08-15
10.1186/1465-9921-7-108,2006-08-11
10.1186/1471-2164-7-210,2006-08-16
10.1186/1471-2334-6-130,2006-08-16
10.1371/journal.pmed.0030343,2006-09-11
10.1371/journal.pmed.0030348,2006-09-11
10.1371/journal.pmed.0030401,2006-09-11
10.1186/1743-422x-3-68,2006-09-01
10.1289/ehp.8880,2006-05-18
10.1371/journal.pmed.0030411,2006-09-19
10.1371/journal.pmed.0030415,2006-09-19
10.1186/1743-422x-3-78,2006-09-20
10.1186/1742-7622-3-14,2006-10-03
10.1186/1472-6963-6-129,2006-10-06
10.1186/1471-2180-6-88,2006-10-04
10.1186/1471-2105-7-451,2006-10-13
10.1186/1478-4505-4-8,2006-10-13
10.1186/1471-2334-6-147,2006-10-06
10.1186/1471-2458-6-235,2006-09-20
10.1186/1471-2334-6-151,2006-10-18
10.1186/1471-2172-7-25,2006-11-01
10.1186/1471-2180-6-96,2006-11-10
10.1186/1743-422x-3-98,2006-11-22
10.1186/1478-4505-4-25,2006-12-08
10.1186/1471-2474-7-100,2006-12-12
10.1371/journal.pmed.0030525,2006-12-20
10.1186/cc5059,2006-10-05
10.1371/journal.pone.0000020,2006-12-20
10.1371/journal.pone.0000041,2006-12-20
10.1371/journal.pone.0000024,2006-12-20
10.1371/journal.pone.0000135,2006-12-27
10.1186/1741-7015-4-32,2006-12-14
10.1186/1471-2105-7-s5-s12,2006-12-19
10.1186/1471-2458-6-311,2006-12-28
10.1186/1751-0147-49-2,2007-01-04
10.1371/journal.pmed.0040018,2007-01-11
10.1186/1743-422x-3-106,2006-12-29
10.1371/journal.ppat.0030009,2007-01-17
10.1371/journal.pmed.0040050,2007-01-17
10.1186/1471-2105-8-21,2007-01-23
10.1371/journal.pone.0000180,2007-02-13
10.1186/gb-2006-7-11-r110,2006-11-16
10.1186/1750-9378-2-3,2007-02-10
10.1186/1475-2859-6-4,2007-01-25
10.1371/journal.ppat.0030020,2007-02-13
10.1371/journal.pmed.0040080,2007-02-23
10.1186/1743-422x-4-22,2007-02-27
10.1186/1743-422x-4-20,2007-02-27
10.1186/1743-422x-4-25,2007-03-07
10.1186/1746-4269-3-11,2007-02-27
10.1186/1471-2334-7-17,2007-05-02
10.1186/1471-2148-7-41,2007-05-02
10.1186/1743-422x-4-28,2007-03-13
10.1186/1471-2334-7-18,2007-05-02
10.1186/1746-4269-3-14,2007-05-02
10.1186/1471-2334-7-19,2007-05-02
10.1371/journal.pone.0000381,2007-04-17
10.1186/1743-422x-4-32,2007-05-02
10.1186/1743-422x-4-35,2007-05-02
10.1186/1472-6750-7-17,2007-05-02
10.1186/1471-2148-7-40,2007-05-02
10.1371/journal.pone.0000419,2007-05-08
10.1371/journal.pone.0000459,2007-05-23
10.1371/journal.pone.0000502,2007-06-05
10.1186/1743-422x-4-39,2007-05-03
10.1186/1471-2334-7-33,2007-04-30
10.1371/journal.pmed.0040178,2007-05-25
10.1371/journal.pmed.0040197,2007-05-25
10.1186/1741-7007-5-19,2007-05-09
10.1186/1746-6148-3-7,2007-05-08
10.1371/journal.pone.0000531,2007-06-12
10.1186/1742-4682-4-20,2007-06-05
10.1186/1743-422x-4-55,2007-06-07
10.1186/1471-2458-7-92,2007-05-30
10.1186/1471-2458-7-93,2007-05-30
10.1371/journal.pmed.0040210,2007-06-18
10.1186/1471-2334-7-50,2007-06-01
10.1186/1479-5876-5-25,2007-06-06
10.1186/1471-2105-8-194,2007-06-12
10.1186/1472-6947-7-15,2007-07-13
10.1371/journal.pone.0000679,2007-07-25
10.1371/journal.pone.0000645,2007-07-24
10.1186/1471-2164-8-194,2007-06-27
10.1186/gb-2007-8-5-r93,2007-05-29
10.1186/1471-2458-7-157,2007-07-17
10.1186/1471-2334-7-76,2007-07-13
10.1186/1471-2458-7-175,2007-07-25
10.1371/journal.ppat.0030109,2007-08-08
10.1371/journal.ppat.0030112,2007-08-08
10.1371/journal.pbio.0050220,2007-08-06
10.1186/1743-422x-4-65,2007-06-28
10.1371/journal.ppat.0030123,2007-08-20
10.1186/1471-2199-8-62,2007-07-25
10.1371/journal.pone.0000924,2007-10-24
10.1371/journal.pone.0000966,2007-10-24
10.1371/journal.pone.0001082,2007-10-23
10.1186/1471-2164-8-274,2007-08-14
10.1371/journal.pmed.0040330,2007-11-15
10.1371/journal.pmed.0040348,2007-11-28
10.1371/journal.pntd.0000086,2007-11-06
10.1186/1476-8518-5-11,2007-10-23
10.1186/1471-2148-7-196,2007-10-18
10.1186/1749-799x-2-15,2007-10-16
10.1186/1475-2859-6-32,2007-10-10
10.1371/journal.ppat.0030198,2007-12-17
10.1186/1472-6947-7-28,2007-10-05
10.1186/1472-6963-7-181,2007-11-13
10.1371/journal.pone.0001494,2008-01-29
10.1371/journal.pone.0001498,2008-01-29
10.1186/cc5723,2007-04-30
10.1186/1743-422x-4-130,2007-12-04
10.1371/journal.pone.0001621,2008-02-20
10.1186/1475-2859-6-39,2007-12-11
10.1186/1745-7580-4-1,2008-01-08
10.1186/1471-2172-9-1,2008-01-22
10.1186/1742-4690-5-2,2008-01-10
10.1186/1471-2458-8-18,2008-01-18
10.1186/1465-9921-9-15,2008-01-30
10.1186/1471-2164-9-5,2008-02-26
10.1186/1471-2458-8-42,2008-01-30
10.1186/1471-2105-9-s1-s19,2008-02-13
10.1186/1743-422x-5-16,2008-01-25
10.1371/journal.pone.0001831,2008-03-18
10.1186/1465-9921-9-11,2008-01-25
10.1371/journal.pone.0001802,2008-03-18
10.1371/journal.ppat.1000016,2008-03-07
10.1186/1741-7007-6-2,2008-01-15
10.1371/journal.pone.0001847,2008-04-01
10.1080/17402520600579168,2006-12-07
10.1186/1743-422x-5-26,2008-02-12
10.1186/1471-2164-9-66,2008-02-05
10.1186/1751-0473-3-3,2008-02-26
10.1080/1044667021000096455,2003-11-10
10.1080/1044667031000137575,2003-08-28
10.1186/1743-422x-5-25,2008-02-12
10.1186/1743-422x-5-28,2008-02-19
10.1371/journal.pone.0001985,2008-04-15
10.1289/ehp.11419,2008-04-15
10.1186/1742-4933-5-2,2008-02-20
10.1186/1471-2334-8-27,2008-03-01
10.1371/journal.pcbi.1000020,2008-04-24
10.1186/1471-2334-8-23,2008-02-29
10.1186/1472-6750-8-33,2008-03-27
10.1371/journal.ppat.1000054,2008-05-01
10.1186/1471-2105-9-155,2008-03-20
10.1371/journal.ppat.1000002,2008-04-24
10.1186/1471-2105-9-159,2008-03-25
10.1186/1472-6750-8-35,2008-04-03
10.1371/journal.pone.0002169,2008-05-13
10.1371/journal.pone.0002183,2008-05-13
10.1186/gb-2007-8-9-r190,2007-09-14
10.1371/journal.ppat.1000018,2008-05-29
10.1371/journal.pone.0002273,2008-05-28
10.1186/1476-072x-7-14,2008-04-11
10.1098/rsif.2007.1272,2007-12-05
10.1371/journal.pone.0002269,2008-05-28
10.1186/1471-2164-9-179,2008-04-18
10.1371/journal.ppat.1000085,2008-06-05
10.1186/1471-2288-8-20,2008-04-11
10.1371/journal.pone.0002397,2008-06-10
10.1371/journal.ppat.1000088,2008-06-12
10.1186/1743-422x-5-63,2008-05-22
10.1186/1471-2458-8-192,2008-06-03
10.1371/journal.pone.0002427,2008-06-17
10.1186/1743-422x-5-69,2008-06-03
10.1371/journal.pone.0002585,2008-07-09
10.1371/journal.pone.0002618,2008-07-09
10.1371/journal.pone.0002637,2008-07-09
10.1371/journal.pone.0002685,2008-07-15
10.1186/1472-6750-8-53,2008-06-24
10.1186/1471-2458-8-212,2008-06-13
10.1186/1471-2148-8-172,2008-06-10
10.1002/cfg.60,2002-08-25
10.1002/cfg.231,2003-12-08
10.1002/cfg.350,2004-02-12
10.1002/cfg.355,2005-01-26
10.1002/cfg.353,2004-05-20
10.1002/cfg.357,2005-02-28
10.1002/cfg.421,2005-05-17
10.1002/cfg.425,2006-02-14
10.1002/cfg.422,2005-08-23
10.1002/cfg.419,2005-03-04
10.1371/journal.pone.0002674,2008-07-15
10.1371/journal.pone.0002771,2008-07-22
10.1098/rspb.2008.0294,2008-05-28
10.1186/cc6894,2008-05-07
10.1371/journal.ppat.1000115,2008-07-31
10.1186/1477-7827-6-29,2008-07-11
10.1186/1471-2458-8-236,2008-07-15
10.1371/journal.pone.0002876,2008-08-05
10.1186/1471-2148-8-207,2008-07-17
10.1371/journal.ppat.1000130,2008-08-21
10.1371/journal.pone.0003154,2008-09-05
10.1186/1757-1626-1-70,2008-07-31
10.1371/journal.ppat.1000152,2008-09-11
10.1186/1756-0500-1-47,2008-08-05
10.1371/journal.pone.0003181,2008-09-10
10.1186/1472-6947-8-35,2008-07-31
10.1186/1746-6148-4-31,2008-08-12
10.1186/1471-2334-8-113,2008-09-09
10.1371/journal.ppat.1000163,2008-09-25
10.1371/journal.pbio.0060226,2008-09-12
10.1186/1471-2199-9-77,2008-09-04
10.1186/1472-6750-8-66,2008-09-02
10.1186/1471-2164-9-413,2008-09-16
10.1371/journal.pone.0003299,2008-09-30
10.1371/journal.ppat.1000176,2008-10-09
10.1186/1471-2105-9-368,2008-09-10
10.1186/1471-2334-8-117,2008-09-16
10.1371/journal.pone.0003413,2008-10-14
10.1371/journal.ppat.1000186,2008-10-23
10.1371/journal.pone.0003454,2008-10-17
10.1186/1476-0711-7-18,2008-09-25
10.1186/1471-2148-8-253,2008-09-18
10.1371/journal.pone.0003548,2008-10-28
10.1186/1743-422x-5-110,2008-09-30
10.1186/1471-2458-8-347,2008-10-22
10.1371/journal.ppat.1000197,2008-11-06
10.1371/journal.ppat.1000196,2008-11-06
10.1371/journal.pbio.0060270,2008-10-24
10.1186/1743-422x-5-119,2008-10-16
10.1371/journal.ppat.1000208,2008-11-13
10.1186/1479-0556-6-15,2008-10-22
10.1186/1471-2458-8-354,2008-10-08
10.1186/1471-2334-8-145,2008-11-04
10.1371/journal.ppat.1000225,2008-11-27
10.1371/journal.pone.0003803,2008-11-25
10.1186/1743-422x-5-123,2008-10-21
10.1186/1755-8794-1-54,2008-10-25
10.1186/1745-6673-3-25,2008-11-06
10.1371/journal.ppat.1000236,2008-12-11
10.1371/journal.ppat.1000240,2008-12-11
10.1186/1447-056x-7-5,2009-07-23
10.1186/1742-2094-5-48,2008-10-23
10.1186/cc7098,2008-10-25
10.1186/1743-422x-5-138,2008-11-18
10.1186/1471-2458-8-377,2008-10-30
10.1371/journal.pone.0004118,2009-01-03
10.1186/1471-2164-9-577,2008-12-02
10.1186/1471-2180-8-207,2008-11-28
10.1371/journal.pone.0004180,2009-01-12
10.1371/journal.pone.0004176,2009-01-09
10.1186/1472-6963-8-228,2008-11-06
10.1371/journal.pone.0004171,2009-01-09
10.1371/journal.pbio.0000002,2003-11-14
10.1371/journal.pone.0004261,2009-01-21
10.1186/1743-422x-5-157,2008-12-23
10.1186/1471-2164-9-509,2008-10-30
10.1186/1479-5876-6-78,2008-12-10
10.1371/journal.ppat.1000287,2009-02-07
10.1186/1746-4269-5-2,2009-01-13
10.1186/1472-6750-8-85,2008-11-18
10.1186/1471-2164-9-622,2008-12-20
10.1186/1746-6148-4-46,2008-11-18
10.1186/1742-4690-5-112,2008-12-11
10.3390/ijms9112169,2008-11-07
10.3390/ijms9071276,2008-07-17
10.3390/ijms9091561,2008-10-02
10.1371/journal.pone.0004596,2009-02-25
10.2174/138920207783591690,2009-02-14
10.1155/2009/591935,2009-01-04
10.1186/1471-2105-10-s1-s48,2009-01-30
10.1371/journal.pone.0004744,2009-03-07
10.1186/1476-7961-7-2,2009-01-20
10.1371/journal.pgen.1000431,2009-03-19
10.1371/journal.pbio.1000053,2009-03-06
10.1371/journal.pone.0004908,2009-03-14
10.1186/1471-2458-9-56,2009-02-12
10.1371/journal.ppat.1000351,2009-03-26
10.1186/1743-422x-6-5,2009-01-13
10.1186/1472-6750-9-7,2009-03-17
10.1186/1471-2334-9-9,2009-01-27
10.1371/journal.pone.0002432,2008-06-17
10.1186/1743-422x-6-15,2009-02-05
10.1186/1475-2859-8-12,2009-01-30
10.1371/journal.ppat.1000358,2009-04-02
10.1186/1471-2164-10-64,2009-02-05
10.1186/1472-6963-9-30,2009-02-14
10.1186/1471-2172-10-14,2009-03-19
10.1371/journal.pone.0005156,2009-04-09
10.1371/journal.ppat.1000391,2009-04-16
10.1186/1478-4491-7-26,2009-03-30
10.1186/1476-072x-8-14,2009-03-17
10.1186/1477-5956-7-12,2009-03-26
10.1186/1471-2458-9-81,2009-03-13
10.1371/journal.pntd.0000335,2009-04-27
10.1186/1471-2334-9-27,2009-03-11
10.1371/journal.ppat.1000418,2009-05-07
10.1186/1743-8462-6-5,2009-04-09
10.1371/journal.ppat.1000424,2009-05-14
10.1371/journal.pone.0005466,2009-05-04
10.2174/1874357900701010014,2007-12-19
10.1371/journal.ppat.1000438,2009-05-21
10.1186/1465-9921-10-29,2009-04-22
10.1186/1746-6148-5-15,2009-04-23
10.1186/1756-3305-2-s1-s7,2009-03-26
10.1371/journal.pone.0005672,2009-05-21
10.1371/journal.pone.0005671,2009-05-21
10.1186/1471-2334-9-51,2009-05-01
10.1186/1471-2229-9-46,2009-05-19
10.1186/1471-2458-9-127,2009-05-09
10.1371/journal.pntd.0000450,2009-06-01
10.1186/1472-6963-9-78,2009-05-13
10.1371/journal.pone.0005807,2009-06-04
10.1186/1475-2859-8-26,2009-05-14
10.1371/journal.pmed.1000091,2009-06-22
10.1186/1743-422x-6-71,2009-06-04
10.1186/1471-2180-9-115,2009-06-02
10.1002/biot.200800241,2009-02-18
10.1371/journal.pone.0006105,2009-06-30
10.1186/1471-2458-9-161,2009-05-28
10.1371/journal.pone.0006130,2009-07-01
10.1186/1471-2172-10-35,2009-06-09
10.1371/journal.pone.0006108,2009-07-02
10.1186/1479-0556-7-7,2009-06-26
10.1186/1472-6963-9-94,2009-06-30
10.1186/1472-6750-9-55,2009-06-12
10.1371/journal.pone.0006217,2009-07-09
10.1371/journal.pbio.1000155,2009-07-20
10.1186/1471-2466-9-22,2009-05-19
10.1186/1743-422x-6-79,2009-07-02
10.1186/1471-2458-9-179,2009-06-10
10.1186/1743-422x-6-86,2009-06-25
10.1371/journal.pone.0006314,2009-07-17
10.1186/1476-9255-6-20,2009-06-23
10.1371/journal.pone.0006342,2009-07-21
10.1186/1745-6673-4-15,2009-07-14
10.1371/journal.pone.0006355,2009-07-24
10.1371/journal.ppat.1000404,2009-07-30
10.1371/journal.ppat.1000384,2009-07-30
10.1371/journal.pone.0006419,2009-07-28
10.1111/j.1365-3148.2009.00916.x,2009-04-20
10.1107/s0907444909018253,2009-07-15
10.1186/1824-7288-35-16,2009-06-26
10.1186/1471-2458-9-242,2009-07-16
10.1186/1471-2334-9-115,2009-07-25
10.1371/journal.pone.0006681,2009-08-17
10.1186/1741-7015-7-35,2009-08-14
10.1155/2009/170735,2009-07-08
10.1186/1756-3305-2-36,2009-08-13
10.1371/journal.pone.0006852,2009-08-28
10.1371/journal.pone.0006829,2009-08-27
10.1186/1477-5956-7-27,2009-08-11
10.1371/journal.ppat.1000557,2009-10-26
10.1371/journal.ppat.1000587,2009-09-18
10.1186/1755-8794-2-49,2009-08-05
10.1371/journal.pone.0007042,2009-09-15
10.1186/1471-2105-10-251,2009-08-14
10.1371/journal.pone.0006952,2009-09-18
10.1186/1743-422x-6-131,2009-08-25
10.1186/1756-8722-2-37,2009-08-27
10.1371/journal.pcbi.1000520,2009-09-25
10.1186/1423-0127-16-80,2009-09-02
10.1371/journal.pone.0007142,2009-09-22
10.1186/1471-2393-9-39,2009-09-03
10.1371/journal.ppat.1000602,2009-10-01
10.1371/journal.pone.0007162,2009-09-25
10.1371/journal.pntd.0000530,2009-09-28
10.1186/1476-8518-7-3,2009-09-08
10.1186/1471-230x-9-63,2009-08-22
10.1186/1477-7525-7-76,2009-08-13
10.1186/1743-422x-6-136,2009-09-09
10.1186/1743-422x-6-142,2009-09-15
10.1371/journal.pgen.1000612,2009-10-26
10.1371/journal.pone.0007211,2009-10-06
10.1186/1743-422x-6-145,2009-09-21
10.1186/1471-2105-10-293,2009-09-16
10.1186/1471-2334-9-157,2009-09-22
10.1371/journal.pone.0007384,2009-10-08
10.1371/journal.pcbi.1000481,2009-10-26
10.1371/journal.pbio.1000217,2009-10-26
10.1371/journal.pbio.1000219,2009-10-26
10.1371/journal.pone.0007376,2009-10-14
10.1371/journal.pbio.1000224,2009-10-26
10.1371/journal.pone.0007498,2009-10-15
10.1186/1423-0127-16-89,2009-09-24
10.1186/1742-6405-6-20,2009-10-07
10.1186/1471-2334-9-160,2009-09-29
10.1371/journal.ppat.1000636,2009-10-22
10.1136/thx.2008.112466,2009-07-03
10.1186/1743-422x-6-164,2009-10-10
10.1186/1471-2334-9-166,2009-10-06
10.1371/journal.ppat.1000642,2009-10-29
10.1186/1478-4505-7-21,2009-09-29
10.1186/1471-2288-9-67,2009-10-06
10.1186/1748-5908-4-65,2009-10-14
10.1186/1743-422x-6-166,2009-10-13
10.1371/journal.pone.0007377,2009-10-15
10.1371/journal.pone.0007870,2009-11-17
10.1371/journal.pone.0007837,2009-11-12
10.1186/1751-0147-51-43,2009-10-31
10.1371/journal.ppat.1000481,2009-11-26
10.2174/138161208786898806,2008-12-17
10.1371/journal.pone.0007700,2009-11-26
10.1111/j.1365-2958.2006.05503.x,2006-12-14
10.1186/1471-2458-9-s1-s2,2012-05-02
10.1371/journal.pone.0008032,2009-12-02
10.1186/1465-9921-10-102,2009-10-30
10.1186/1472-6963-9-200,2009-11-06
10.1371/journal.pmed.1000182,2009-12-14
10.1186/1471-2180-9-167,2009-08-14
10.1186/1471-2180-9-164,2009-08-13
10.1186/1465-9921-10-107,2009-11-12
10.1371/journal.pmed.1000190,2009-12-14
10.1186/1471-2105-10-385,2009-11-24
10.1371/journal.pone.0008266,2009-12-10
10.1186/1471-2105-10-s15-s2,2009-12-03
10.1371/journal.pone.0008325,2009-12-14
10.1371/journal.ppat.1000693,2009-12-23
10.1371/journal.pone.0008342,2009-12-16
10.1371/journal.pone.0008356,2009-12-19
10.1371/journal.pone.0008350,2009-12-16
10.1186/1471-2172-10-61,2009-12-03
10.1371/journal.pone.0008390,2009-12-21
10.1371/journal.pone.0008518,2009-12-29
10.1371/journal.pone.0008540,2009-12-30
10.1186/1476-069x-8-s1-s15,2009-12-22
10.1186/1471-2334-9-196,2009-12-04
10.1186/1471-2180-9-249,2009-12-04
10.1371/journal.pone.0008610,2010-01-05
10.1371/journal.pone.0008615,2010-01-06
10.1186/1471-2350-10-134,2009-12-17
10.1186/1472-6963-9-232,2009-12-15
10.1186/1471-2334-9-208,2009-12-17
10.1155/2009/278246,2009-12-30
10.1186/1743-422x-6-224,2009-12-22
10.1186/1471-2458-9-470,2009-12-17
10.1186/1471-2172-10-64,2009-12-18
10.1186/1743-422x-6-230,2009-12-24
10.1186/1743-422x-6-231,2010-01-05
10.1111/j.1750-3639.2008.00254.x,2009-02-24
10.1186/1471-2164-10-608,2009-12-15
10.1186/1465-9921-10-128,2010-01-05
10.1371/journal.pone.0008713,2010-01-14
10.1371/journal.pone.0008729,2010-01-14
