source_x,doi,pmcid,pubmed_id,created,created_year
CZI,10.1016/j.antiviral.2020.104759,NA,NA,2020-03-01,2020
CZI,10.1016/j.bsheal.2020.01.003,NA,NA,2020-02-05,2020
CZI,10.1016/S0140-6736(20)30419-0,NA,NA,NA,NA
CZI,10.1016/j.ijid.2020.01.009,NA,NA,2020-01-15,2020
CZI,10.1016/j.ijid.2020.01.050,NA,NA,2020-01-30,2020
CZI,10.1038/s41368-020-0075-9,NA,NA,2020-03-03,2020
CZI,10.1097/cm9.0000000000000722,NA,32004165,2020-02-06,2020
CZI,10.1136/archdischild-2020-318996,NA,32132140,2020-03-04,2020
CZI,10.1186/s12967-019-2116-8,NA,NA,2019-11-08,2019
CZI,10.2807/1560-7917.ES.2020.25.3.2000045,NA,NA,NA,NA
CZI,10.3390/healthcare8010046,NA,NA,2020-02-28,2020
CZI,10.3390/jcm9020388,NA,NA,2020-02-03,2020
CZI,10.1016/j.jfma.2020.02.009,NA,NA,2020-03-02,2020
CZI,10.1016/j.jfma.2020.02.007,NA,NA,2020-02-26,2020
CZI,10.1016/j.onehlt.2020.100124,NA,NA,2020-02-24,2020
CZI,10.3390/jcm9020523,NA,NA,2020-02-25,2020
CZI,10.3390/jcm9030623,NA,NA,2020-02-27,2020
CZI,10.1016/j.ijid.2020.02.050,NA,NA,2020-02-27,2020
CZI,10.1097/CM9.0000000000000757,NA,32068600,NA,NA
CZI,10.2807/1560-7917.ES.2020.25.8.2000170,NA,NA,NA,NA
CZI,10.3390/jcm9020498,NA,32054124,2020-02-11,2020
CZI,10.1016/S2468-2667(20)30030-X,NA,NA,NA,NA
CZI,10.1016/S2589-7500(20)30055-8,NA,NA,NA,NA
CZI,10.1016/j.jshs.2020.01.005,NA,NA,2020-02-04,2020
CZI,10.1016/j.onehlt.2020.100123,NA,NA,2020-02-14,2020
CZI,10.2807/1560-7917.ES.2020.25.8.2000197,NA,NA,NA,NA
CZI,10.3348/kjr.2020.0112,NA,32100486,2020-02-26,2020
CZI,10.4081/pr.2020.8495,NA,NA,2020-02-11,2020
CZI,10.1007/s40609-018-0123-y,NA,NA,2018-09-03,2018
CZI,10.1016/j.jmii.2020.02.001,NA,NA,2020-02-04,2020
CZI,10.1016/j.jmii.2020.02.009,NA,NA,2020-02-19,2020
CZI,10.1038/s41392-020-0127-9,NA,NA,2020-02-21,2020
CZI,10.1097/CM9.0000000000000775,NA,32118640,NA,NA
CZI,10.2807/1560-7917.ES.2020.25.8.2000171,NA,NA,NA,NA
CZI,10.1038/s41368-020-0074-x,NA,NA,2020-02-24,2020
CZI,10.3389/fmicb.2020.00298,NA,NA,2020-02-28,2020
CZI,10.1002/emp2.12034,NA,NA,2020-02-22,2020
CZI,10.1016/j.eclinm.2020.100300,NA,NA,2020-02-26,2020
CZI,10.1016/j.vaccine.2019.12.055,NA,NA,2020-01-28,2020
CZI,10.1038/s41579-018-0118-9,NA,30531947,2018-12-10,2018
CZI,10.1097/CM9.0000000000000782,NA,32118644,NA,NA
CZI,10.3390/jcm9020330,NA,NA,2020-01-24,2020
CZI,10.3399/bjgpopen20X101041,NA,31992543,NA,NA
CZI,10.3855/jidc.12496,NA,NA,2020-02-06,2020
CZI,10.1097/CM9.0000000000000787,NA,32118646,NA,NA
CZI,10.4081/idr.2020.8516,NA,NA,2020-02-25,2020
CZI,10.1016/j.ram.2020.02.001,NA,NA,2020-02-27,2020
CZI,10.3348/kjr.2020.0132,NA,32100485,2020-02-26,2020
CZI,10.1016/S2214-109X(20)30065-6,NA,NA,NA,NA
CZI,10.1016/S2468-2667(20)30048-7,NA,NA,NA,NA
CZI,10.1016/S2468-2667(20)30051-7,NA,NA,NA,NA
CZI,10.1016/j.fsiml.2020.100013,NA,NA,2020-02-26,2020
CZI,10.1093/jtm/taaa022,NA,NA,2020-02-11,2020
CZI,10.1093/ofid/ofz360.2126,NA,NA,2019-10-23,2019
CZI,10.1186/s12916-020-01533-w,NA,NA,2020-02-28,2020
CZI,10.2807/1560-7917.ES.2020.25.6.2000094,NA,NA,NA,NA
CZI,10.1016/j.apsb.2020.02.008,NA,NA,2020-02-27,2020
CZI,10.1016/j.bbrc.2020.02.071,NA,NA,2020-02-17,2020
CZI,10.1016/j.jshs.2020.02.001,NA,NA,2020-02-06,2020
CZI,10.1016/j.virusres.2020.197863,NA,31945421,2020-01-13,2020
CZI,10.1136/bmj.m606,NA,NA,2020-02-19,2020
CZI,10.3346/jkms.2020.35.e89,NA,32080993,2020-02-20,2020
CZI,10.3390/jcm9020596,NA,NA,2020-02-25,2020
CZI,10.1016/S2589-7500(20)30054-6,NA,NA,NA,NA
CZI,10.1016/j.joim.2020.02.005,NA,NA,2020-02-20,2020
CZI,10.1038/s41564-020-0695-z,NA,NA,2020-03-02,2020
CZI,10.1016/j.idm.2020.02.003,NA,NA,2020-02-29,2020
CZI,10.1097/CM9.0000000000000761,NA,32097201,NA,NA
CZI,10.1111/irv.12735,NA,NA,2020-03-04,2020
CZI,10.1016/S2589-7500(20)30026-1,NA,NA,NA,NA
CZI,10.1136/bmj.m160,NA,NA,2020-02-18,2020
CZI,10.31646/gbio.50,NA,NA,2020-02-07,2020
CZI,10.3390/jcm9020601,NA,NA,2020-02-25,2020
CZI,10.1007/s00134-020-05990-y,NA,NA,2020-03-02,2020
CZI,10.1016/j.jmii.2020.02.012,NA,NA,2020-03-04,2020
CZI,10.1093/clinchem/hvaa029,NA,32031583,2020-01-28,2020
CZI,10.1016/j.jmii.2020.02.011,NA,NA,2020-02-25,2020
CZI,10.1097/CM9.0000000000000776,NA,32118641,NA,NA
CZI,10.1097/CM9.0000000000000783,NA,32118645,NA,NA
CZI,10.1097/MD.0000000000018782,NA,32011472,NA,NA
CZI,10.1186/s41256-020-00135-6,NA,NA,2020-03-02,2020
CZI,10.1016/S2468-2667(20)30033-5,NA,NA,NA,NA
CZI,10.1093/pcmedi/pbaa002,NA,NA,2020-02-13,2020
CZI,10.1097/CM9.0000000000000778,NA,32118643,NA,NA
CZI,10.14789/jmj.2020.66.1-en,NA,NA,2020-02-28,2020
CZI,10.15171/ijoem.2020.1921,NA,32020915,2020-02-05,2020
CZI,10.3390/jcm9020419,NA,32033064,2020-02-06,2020
CZI,10.3201/eid2606.200239,NA,32125269,2020-03-03,2020
CZI,10.3201/eid2605.200146,NA,32053479,2020-02-13,2020
CZI,10.2807/1560-7917.ES.2020.25.8.2002271,NA,NA,NA,NA
CZI,10.3201/eid2606.200452,NA,32118533,2020-03-02,2020
CZI,10.3201/eid2605.200198,NA,32091386,2020-02-24,2020
CZI,10.0376/cma.j.issn.0376-2491.2020.0002,NA,32036640,NA,NA
CZI,10.1001/jama.2020.0757,NA,NA,2020-01-23,2020
CZI,10.1001/jama.2020.1097,NA,31999307,2020-01-30,2020
CZI,10.1001/jama.2020.1490,NA,NA,2020-02-05,2020
CZI,10.1001/jama.2020.1585,NA,32031570,2020-02-07,2020
CZI,10.1001/jama.2020.1585,NA,NA,2020-02-07,2020
CZI,10.1001/jama.2020.1623,NA,32031568,2020-02-07,2020
CZI,10.1001/jama.2020.1960,NA,32044915,2020-02-11,2020
CZI,10.1001/jama.2020.2025,NA,NA,2020-02-13,2020
CZI,10.1001/jama.2020.2131,NA,NA,2020-02-14,2020
CZI,10.1001/jama.2020.2342,NA,32074258,2020-02-19,2020
CZI,10.1001/jama.2020.2467,NA,NA,2020-02-20,2020
CZI,10.1001/jama.2020.2565,NA,32083643,2020-02-21,2020
CZI,10.1001/jama.2020.2633,NA,32101254,2020-02-26,2020
CZI,10.1001/jama.2020.2648,NA,32091533,2020-02-24,2020
CZI,10.1001/jama.2020.2783,NA,32105304,2020-02-27,2020
CZI,10.1001/jama.2020.3072,NA,NA,2020-02-28,2020
CZI,10.1001/jama.2020.3151,NA,32125371,2020-03-03,2020
CZI,10.1001/jama.2020.3204,NA,NA,2020-03-03,2020
CZI,10.1001/jama.2020.3227,NA,NA,2020-03-04,2020
CZI,10.1001/jama.2020.3413,NA,32125355,2020-03-03,2020
CZI,10.1002/adaw.32649,NA,NA,2020-03-06,2020
CZI,10.1002/ajh.25774,NA,32129508,2020-03-04,2020
CZI,10.1002/cbic.202000047,NA,NA,2020-02-05,2020
CZI,10.1002/cind.842_3.x,NA,NA,2020-02-28,2020
CZI,10.1002/cyto.a.23990,NA,NA,2020-03-06,2020
CZI,10.1002/ddr.21656,NA,32129518,2020-03-04,2020
CZI,10.1002/eji.202070035,NA,32104909,2020-02-27,2020
CZI,10.1002/emp2.12041,NA,NA,2020-02-28,2020
CZI,10.1002/hep.20111,NA,NA,2004-02-03,2004
CZI,10.1002/jmv.25674,NA,31944312,2020-01-15,2020
CZI,10.1002/jmv.25681,NA,NA,2020-01-22,2020
CZI,10.1002/jmv.25682,NA,31967321,2020-01-22,2020
CZI,10.1002/jmv.25683,NA,NA,2020-01-22,2020
CZI,10.1002/jmv.25688,NA,NA,2020-01-29,2020
CZI,10.1002/jmv.25689,NA,NA,2020-01-29,2020
CZI,10.1002/jmv.25693,NA,31997390,2020-01-30,2020
CZI,10.1002/jmv.25695,NA,NA,2020-02-04,2020
CZI,10.1002/jmv.25698,NA,NA,2020-02-05,2020
CZI,10.1002/jmv.25699,NA,NA,2020-02-05,2020
CZI,10.1002/jmv.25700,NA,NA,2020-02-06,2020
CZI,10.1002/jmv.25701,NA,NA,2020-02-06,2020
CZI,10.1002/jmv.25702,NA,NA,2020-02-07,2020
CZI,10.1002/jmv.25705,NA,32048741,2020-02-12,2020
CZI,10.1002/jmv.25706,NA,32048740,2020-02-12,2020
CZI,10.1002/jmv.25707,NA,32052466,2020-02-13,2020
CZI,10.1002/jmv.25708,NA,NA,2020-02-14,2020
CZI,10.1002/jmv.25709,NA,NA,2020-02-14,2020
CZI,10.1002/jmv.25711,NA,NA,2020-02-19,2020
CZI,10.1002/jmv.25715,NA,NA,2020-02-19,2020
CZI,10.1002/jmv.25719,NA,32083328,2020-02-21,2020
CZI,10.1002/jmv.25720,NA,32091134,2020-02-24,2020
CZI,10.1002/jmv.25721,NA,32096564,2020-02-25,2020
CZI,10.1002/jmv.25722,NA,32096567,2020-02-25,2020
CZI,10.1002/jmv.25723,NA,32096566,2020-02-25,2020
CZI,10.1002/jmv.25725,NA,32100876,2020-02-26,2020
CZI,10.1002/jmv.25726,NA,32100877,2020-02-26,2020
CZI,10.1002/jmv.25727,NA,NA,2020-02-27,2020
CZI,10.1002/jmv.25729,NA,NA,2020-02-27,2020
CZI,10.1002/jmv.25731,NA,NA,2020-02-27,2020
CZI,10.1002/jmv.25733,NA,NA,2020-02-28,2020
CZI,10.1002/jmv.25735,NA,NA,2020-02-28,2020
CZI,10.1002/jmv.25736,NA,NA,2020-02-28,2020
CZI,10.1002/jmv.25738,NA,NA,2020-03-02,2020
CZI,10.1002/jmv.25740,NA,NA,2020-03-02,2020
CZI,10.1002/jmv.25742,NA,32124995,2020-03-03,2020
CZI,10.1002/jmv.25743,NA,32124990,2020-03-03,2020
CZI,10.1002/jmv.25748,NA,NA,2020-03-05,2020
CZI,10.1002/jmv.25749,NA,32141619,2020-03-06,2020
CZI,10.1002/jmv.25750,NA,32141624,2020-03-06,2020
CZI,10.1002/jnr.24132,NA,NA,2017-08-24,2017
CZI,10.1002/job.396,NA,NA,2006-09-21,2006
CZI,10.1002/med.21664,NA,NA,2020-02-15,2020
CZI,10.1002/mhw.32253,NA,NA,2020-02-21,2020
CZI,10.1002/ppul.24718,NA,NA,2020-03-05,2020
CZI,10.1002/uog.22006,NA,NA,2020-03-05,2020
CZI,10.1007/978-1-0716-0211-9_16,NA,31883098,2019-12-27,2019
CZI,10.1007/978-1-0716-0211-9_6,NA,31883088,2019-12-27,2019
CZI,10.1007/978-1-0716-0211-9_7,NA,31883089,2019-12-27,2019
CZI,10.1007/s00059-020-04909-z,NA,NA,2020-03-05,2020
CZI,10.1007/s00134-020-05943-5,NA,NA,2020-02-10,2020
CZI,10.1007/s00134-020-05955-1,NA,32125458,2020-03-03,2020
CZI,10.1007/s00134-020-05964-0,NA,NA,2020-02-18,2020
CZI,10.1007/s00134-020-05966-y,NA,NA,2020-02-20,2020
CZI,10.1007/s00134-020-05967-x,NA,NA,2020-02-26,2020
CZI,10.1007/s00134-020-05977-9,NA,NA,2020-03-02,2020
CZI,10.1007/s00134-020-05978-8,NA,NA,2020-02-25,2020
CZI,10.1007/s00134-020-05979-7,NA,NA,2020-03-02,2020
CZI,10.1007/s00134-020-05987-7,NA,NA,2020-03-02,2020
CZI,10.1007/s00134-020-05991-x,NA,32125452,2020-03-03,2020
CZI,10.1007/s00246-015-1290-6,NA,NA,2015-10-26,2015
CZI,10.1007/s00259-020-04720-2,NA,NA,2020-02-14,2020
CZI,10.1007/s00259-020-04734-w,NA,32088847,2020-02-22,2020
CZI,10.1007/s00259-020-04735-9,NA,NA,2020-02-28,2020
CZI,10.1007/s002689900293,NA,NA,2002-08-25,2002
CZI,10.1007/s00270-020-02440-6,NA,32103304,2020-02-26,2020
CZI,10.1007/s00330-020-06713-z,NA,NA,2020-02-06,2020
CZI,10.1007/s00330-020-06731-x,NA,NA,2020-02-13,2020
CZI,10.1007/s00330-020-06748-2,NA,NA,2020-02-18,2020
CZI,10.1007/s00415-020-09773-9,NA,NA,2020-02-25,2020
CZI,10.1007/s00417-020-04641-8,NA,NA,2020-03-03,2020
CZI,10.1007/s00705-020-04541-6,NA,32052195,2020-02-12,2020
CZI,10.1007/s00784-020-03248-x,NA,32078048,2020-02-20,2020
CZI,10.1007/s10389-020-01209-y,NA,NA,2020-02-13,2020
CZI,10.1007/s10729-020-09504-6,NA,NA,2020-03-07,2020
CZI,10.1007/s10916-020-1536-6,NA,NA,2020-02-04,2020
CZI,10.1007/s11262-020-01737-5,NA,NA,2020-02-19,2020
CZI,10.1007/s11298-020-7917-9,NA,NA,2020-03-03,2020
CZI,10.1007/s11427-020-1637-5,NA,32009228,2020-02-03,2020
CZI,10.1007/s11427-020-1643-8,NA,NA,2020-02-11,2020
CZI,10.1007/s11427-020-1645-7,NA,NA,2020-02-11,2020
CZI,10.1007/s11427-020-1660-2,NA,NA,2020-03-03,2020
CZI,10.1007/s11606-020-05762-w,NA,NA,2020-03-04,2020
CZI,10.1007/s11655-020-3192-6,NA,32065348,2020-02-17,2020
CZI,10.1007/s12072-016-9736-3,NA,NA,2016-05-26,2016
CZI,10.1007/s12250-020-00203-8,NA,NA,2020-03-06,2020
CZI,10.1007/s12250-020-00204-7,NA,NA,2020-02-11,2020
CZI,10.1007/s12250-020-00205-6,NA,32034638,2020-02-07,2020
CZI,10.1007/s12250-020-00206-5,NA,NA,2020-02-14,2020
CZI,10.1007/s12250-020-00207-4,NA,32125642,2020-03-03,2020
CZI,10.1007/s12264-020-00476-9,NA,NA,2020-02-25,2020
CZI,10.1007/s12273-020-0623-4,NA,NA,2020-02-22,2020
CZI,10.1007/s12519-020-00343-7,NA,32034659,2020-02-07,2020
CZI,10.1007/s12519-020-00343-7,NA,32051073,2020-02-07,2020
CZI,10.1007/s12519-020-00344-6,NA,NA,2020-02-05,2020
CZI,10.1007/s12519-020-00345-5,NA,NA,2020-02-05,2020
CZI,10.1007/s12519-020-00346-4,NA,NA,2020-02-10,2020
CZI,10.1007/s12519-020-00347-3,NA,32112336,2020-02-28,2020
CZI,10.1007/s12630-020-01591-x,NA,32052373,2020-02-12,2020
CZI,10.1007/s12630-020-01617-4,NA,NA,2020-03-06,2020
CZI,10.1007/s13337-020-00571-5,NA,NA,2020-03-05,2020
CZI,10.1007/s15006-020-0080-0,NA,NA,2020-02-03,2020
CZI,10.1007/s15010-020-01401-y,NA,NA,2020-02-18,2020
CZI,10.1007/s40267-020-00717-x,NA,NA,2020-03-07,2020
CZI,10.1007/s40475-020-00201-6,NA,NA,2020-03-03,2020
CZI,10.1016/j.accpm.2020.02.002,NA,NA,2020-02-21,2020
CZI,10.1016/j.accpm.2020.03.001,NA,NA,2020-03-03,2020
CZI,10.1016/j.acra.2020.02.003,NA,NA,2020-02-26,2020
CZI,10.1016/j.ajic.2005.12.006,NA,NA,2006-05-09,2006
CZI,10.1016/j.ajic.2019.06.023,NA,NA,2019-07-27,2019
CZI,10.1016/j.ajog.2020.02.017,NA,NA,2020-02-24,2020
CZI,10.1016/j.ajp.2020.101989,NA,NA,2020-02-27,2020
CZI,10.1016/j.ajp.2020.101990,NA,NA,2020-03-04,2020
CZI,10.1016/j.antiviral.2005.10.005,NA,32078595,2005-11-29,2005
CZI,10.1016/j.antiviral.2020.104706,NA,NA,2020-01-10,2020
CZI,10.1016/j.antiviral.2020.104742,NA,NA,2020-02-10,2020
CZI,10.1016/j.antiviral.2020.104762,NA,NA,2020-03-06,2020
CZI,10.1016/j.bios.2020.112041,NA,NA,2020-01-22,2020
CZI,10.1016/j.bja.2020.02.008,NA,32115186,2020-02-27,2020
CZI,10.1016/j.bsheal.2020.01.001,NA,NA,NA,NA
CZI,10.1016/j.cca.2020.03.004,NA,NA,2020-03-04,2020
CZI,10.1016/j.cca.2020.03.009,NA,NA,2020-03-07,2020
CZI,10.1016/j.cell.2020.02.027,NA,NA,2020-02-19,2020
CZI,10.1016/j.cell.2020.02.052,NA,NA,2020-03-09,2020
CZI,10.1016/j.chest.2020.02.014,NA,NA,2020-02-19,2020
CZI,10.1016/j.chom.2020.02.001,NA,NA,2020-02-07,2020
CZI,10.1016/j.clinimag.2020.02.008,NA,NA,2020-02-22,2020
CZI,10.1016/j.cmi.2020.02.005,NA,NA,2020-02-11,2020
CZI,10.1016/j.cmi.2020.02.011,NA,NA,2020-02-20,2020
CZI,10.1016/j.compbiomed.2020.103670,NA,NA,2020-02-26,2020
CZI,10.1016/j.cortex.2016.02.016,NA,32009128,2016-03-15,2016
CZI,10.1016/j.ctcp.2020.101131,NA,NA,2020-03-04,2020
CZI,10.1016/j.ctcp.2020.101132,NA,NA,2020-03-06,2020
CZI,10.1016/j.drudis.2020.01.015,NA,NA,2020-01-30,2020
CZI,10.1016/j.ejps.2020.105290,NA,NA,2020-03-02,2020
CZI,10.1016/j.hlpt.2020.02.001,NA,NA,2020-02-11,2020
CZI,10.1016/j.iccn.2020.102812,NA,NA,2020-02-07,2020
CZI,10.1016/j.ijantimicag.2020.105923,NA,32070753,2020-02-15,2020
CZI,10.1016/j.ijantimicag.2020.105924,NA,32096367,2020-02-17,2020
CZI,10.1016/j.ijantimicag.2020.105924,NA,NA,2020-02-17,2020
CZI,10.1016/j.ijantimicag.2020.105932,NA,NA,2020-03-04,2020
CZI,10.1016/j.ijantimicag.2020.105933,NA,NA,2020-03-06,2020
CZI,10.1016/j.ijheh.2019.11.001,NA,NA,2019-11-19,2019
CZI,10.1016/j.ijheh.2020.113490,NA,32088598,2020-02-21,2020
CZI,10.1016/j.ijid.2020.01.009,NA,32138488,2020-01-15,2020
CZI,10.1016/j.ijid.2020.02.024,NA,NA,2020-02-21,2020
CZI,10.1016/j.ijid.2020.02.025,NA,NA,2020-02-21,2020
CZI,10.1016/j.ijid.2020.02.043,NA,NA,2020-02-26,2020
CZI,10.1016/j.ijid.2020.02.049,NA,NA,2020-02-28,2020
CZI,10.1016/j.ijid.2020.03.003,NA,NA,2020-03-09,2020
CZI,10.1016/j.ijpharm.2020.119171,NA,NA,2020-02-21,2020
CZI,10.1016/j.ijsu.2020.02.034,NA,NA,2020-02-26,2020
CZI,10.1016/j.ijtb.2020.02.004,NA,NA,2020-02-26,2020
CZI,10.1016/j.jaad.2020.02.030,NA,NA,2020-02-17,2020
CZI,10.1016/j.jaad.2020.02.031,NA,NA,2020-02-16,2020
CZI,10.1016/j.jacr.2020.02.008,NA,32092296,2020-02-19,2020
CZI,10.1016/j.jamda.2007.10.003,NA,NA,2008-02-08,2008
CZI,10.1016/j.janxdis.2020.102196,NA,NA,2020-02-10,2020
CZI,10.1016/j.jaut.2020.102433,NA,NA,2020-02-26,2020
CZI,10.1016/j.jaut.2020.102434,NA,NA,2020-03-03,2020
CZI,10.1016/j.jcv.2020.104305,NA,NA,2020-02-28,2020
CZI,10.1016/j.jgar.2020.02.021,NA,NA,2020-03-07,2020
CZI,10.1016/j.jgg.2020.01.003,NA,NA,2020-01-30,2020
CZI,10.1016/j.jgg.2020.02.001,NA,NA,2020-02-13,2020
CZI,10.1016/j.jhin.2020.01.010,NA,NA,2020-01-18,2020
CZI,10.1016/j.jhin.2020.01.019,NA,NA,2020-02-21,2020
CZI,10.1016/j.jhin.2020.01.022,NA,NA,2020-02-06,2020
CZI,10.1016/j.jhin.2020.02.002,NA,NA,2020-02-11,2020
CZI,10.1016/j.jhin.2020.02.005,NA,NA,2020-02-14,2020
CZI,10.1016/j.jhin.2020.02.010,NA,NA,2020-02-21,2020
CZI,10.1016/j.jhin.2020.02.013,NA,NA,2020-03-02,2020
CZI,10.1016/j.jhin.2020.02.016,NA,32114054,2020-02-27,2020
CZI,10.1016/j.jhin.2020.02.018,NA,NA,2020-02-27,2020
CZI,10.1016/j.jhin.2020.02.020,NA,NA,2020-03-03,2020
CZI,10.1016/j.jhin.2020.02.021,NA,NA,2020-03-03,2020
CZI,10.1016/j.jhin.2020.02.022,NA,NA,2020-03-03,2020
CZI,10.1016/j.jhin.2020.02.023,NA,NA,2020-03-09,2020
CZI,10.1016/j.jhin.2020.03.001,NA,NA,2020-03-06,2020
CZI,10.1016/j.jhin.2020.03.002,NA,NA,2020-03-06,2020
CZI,10.1016/j.jhin.2020.03.003,NA,NA,2020-03-06,2020
CZI,10.1016/j.jinf.2020.01.014,NA,NA,2020-01-28,2020
CZI,10.1016/j.jinf.2020.01.016,NA,NA,2020-02-07,2020
CZI,10.1016/j.jinf.2020.01.017,NA,NA,2020-01-30,2020
CZI,10.1016/j.jinf.2020.02.001,NA,NA,2020-02-22,2020
CZI,10.1016/j.jinf.2020.02.002,NA,NA,2020-02-22,2020
CZI,10.1016/j.jinf.2020.02.008,NA,NA,2020-02-22,2020
CZI,10.1016/j.jinf.2020.02.010,NA,NA,2020-02-25,2020
CZI,10.1016/j.jinf.2020.02.011,NA,NA,2020-02-21,2020
