source_x,doi,pmcid,pubmed_id,date
Elsevier,10.1016/0014-4800(90)90039-G,NA,2261945,1990-10-31
Elsevier,10.1016/0014-4800(90)90051-E,NA,NA,1990-12-31
Elsevier,10.1016/0014-4827(87)90322-3,NA,3036553,1987-06-30
Elsevier,10.1016/0014-4835(91)90170-J,NA,NA,1991-10-31
Elsevier,10.1016/0014-4886(89)90111-8,NA,2753113,1989-08-31
Elsevier,10.1016/0014-5793(77)80258-5,NA,193735,1977-05-15
Elsevier,10.1016/0014-5793(78)80039-8,NA,NA,1979-04-30
Elsevier,10.1016/0014-5793(78)80935-1,NA,212316,1978-10-15
Elsevier,10.1016/0014-5793(86)81419-3,NA,3549355,1986-12-31
Elsevier,10.1016/0014-5793(86)81502-2,NA,2429866,1986-10-27
Elsevier,10.1016/0014-5793(87)80408-8,NA,NA,1987-10-31
Elsevier,10.1016/0014-5793(88)81225-0,NA,3042454,1988-08-01
Elsevier,10.1016/0014-5793(88)81226-2,NA,2841153,1988-08-01
Elsevier,10.1016/0014-5793(91)80528-B,NA,1674698,1991-05-06
Elsevier,10.1016/0014-5793(91)80536-C,NA,NA,1991-05-06
Elsevier,10.1016/0014-5793(91)81034-6,NA,1652473,1991-08-19
Elsevier,10.1016/0014-5793(92)80006-3,NA,NA,1992-04-30
Elsevier,10.1016/0014-5793(92)80623-O,NA,1618326,1992-06-15
Elsevier,10.1016/0014-5793(94)00396-3,NA,7514546,1994-05-16
Elsevier,10.1016/0014-5793(94)00813-2,NA,8082813,1994-09-12
Elsevier,10.1016/0014-5793(95)00679-4,NA,7635222,1995-07-24
Elsevier,10.1016/0016-5085(80)90375-3,NA,6776002,1980-09-30
Elsevier,10.1016/0016-5085(84)90232-4,NA,NA,1984-12-31
Elsevier,10.1016/0016-5085(84)90233-6,NA,NA,1984-12-31
Elsevier,10.1016/0016-5085(84)90234-8,NA,NA,1984-12-31
Elsevier,10.1016/0016-5085(84)90717-0,NA,6735081,1984-08-31
Elsevier,10.1016/0016-5085(85)90538-4,NA,NA,1985-02-28
Elsevier,10.1016/0016-5085(85)90539-6,NA,NA,1985-02-28
Elsevier,10.1016/0016-5085(85)90540-2,NA,NA,1985-02-28
Elsevier,10.1016/0016-5085(89)90753-1,NA,NA,1989-06-30
Elsevier,10.1016/0016-5085(91)80012-X,NA,1847119,1991-12-31
Elsevier,10.1016/0016-5085(91)90713-U,NA,1889713,1991-10-31
Elsevier,10.1016/0016-5085(93)90401-W,NA,8425677,1993-02-28
Elsevier,10.1016/0016-5085(93)90438-I,NA,8425709,1993-02-28
Elsevier,10.1016/0016-5085(93)90700-M,NA,NA,1993-06-30
Elsevier,10.1016/0016-5085(93)90973-G,NA,8405871,1993-10-31
Elsevier,10.1016/0016-5085(95)90687-8,NA,7729631,1995-05-31
Elsevier,10.1016/0020-711X(80)90257-8,NA,6991306,1980-12-31
Elsevier,10.1016/0020-711X(84)90096-X,NA,6365650,1984-12-31
Elsevier,10.1016/0020-711X(92)90199-B,NA,1644210,1992-08-31
Elsevier,10.1016/0020-711X(92)90283-7,NA,1473600,1992-12-31
Elsevier,10.1016/0020-7519(88)90147-6,NA,NA,1988-04-30
Elsevier,10.1016/0020-7519(94)00076-Z,NA,7622332,1995-02-28
Elsevier,10.1016/0020-7519(94)90034-5,NA,8026903,1994-04-30
Elsevier,10.1016/0020-7519(94)90081-7,NA,8070952,1994-05-31
Elsevier,10.1016/0021-9975(82)90011-1,NA,6296207,1982-10-31
Elsevier,10.1016/0021-9975(82)90078-0,NA,6282945,1982-04-30
Elsevier,10.1016/0021-9975(83)90051-8,NA,6302138,1983-01-31
Elsevier,10.1016/0021-9975(86)90022-8,NA,3003169,1986-01-31
Elsevier,10.1016/0021-9975(86)90039-3,NA,2426314,1986-07-31
Elsevier,10.1016/0021-9975(86)90056-3,NA,3722477,1986-05-31
Elsevier,10.1016/0021-9975(86)90061-7,NA,3546411,1986-11-30
Elsevier,10.1016/0021-9975(89)90122-9,NA,2469703,1989-02-28
Elsevier,10.1016/0021-9975(92)90015-M,NA,1291589,1992-11-30
Elsevier,10.1016/0021-9975(92)90053-W,NA,1602058,1992-04-30
Elsevier,10.1016/0021-9975(92)90068-6,NA,1313460,1992-01-31
Elsevier,10.1016/0022-1759(82)90060-6,NA,6294183,1982-10-29
Elsevier,10.1016/0022-1759(83)90034-0,NA,6302167,1983-12-31
Elsevier,10.1016/0022-1759(84)90011-5,NA,6088636,1984-09-04
Elsevier,10.1016/0022-1759(84)90043-7,NA,6208281,1984-10-12
Elsevier,10.1016/0022-1759(84)90301-6,NA,6389707,1984-11-30
Elsevier,10.1016/0022-1759(85)90062-6,NA,3902975,1985-10-24
Elsevier,10.1016/0022-1759(87)90147-5,NA,3302047,1987-08-03
Elsevier,10.1016/0022-1759(88)90077-4,NA,2836513,1988-05-25
Elsevier,10.1016/0022-1759(89)90406-7,NA,2542413,1989-05-12
Elsevier,10.1016/0022-1759(90)90002-D,NA,NA,1990-12-31
Elsevier,10.1016/0022-1759(90)90068-7,NA,2155967,1990-03-09
Elsevier,10.1016/0022-1759(90)90188-2,NA,2167914,1990-08-07
Elsevier,10.1016/0022-1759(91)90223-3,NA,1960397,1991-12-31
Elsevier,10.1016/0022-1759(92)90001-A,NA,NA,1992-12-31
Elsevier,10.1016/0022-1759(92)90002-B,NA,NA,1992-12-31
Elsevier,10.1016/0022-1759(92)90136-H,NA,1380046,1992-08-10
Elsevier,10.1016/0022-1759(92)90192-V,NA,1328393,1992-10-02
Elsevier,10.1016/0022-1759(92)90220-N,NA,1401939,1992-09-18
Elsevier,10.1016/0022-1759(94)90019-1,NA,8083518,1994-09-14
Elsevier,10.1016/0022-1759(96)00055-5,NA,8690940,1996-07-17
Elsevier,10.1016/0022-2011(87)90108-X,NA,NA,1987-09-30
Elsevier,10.1016/0022-2364(89)90130-3,NA,NA,1989-10-01
Elsevier,10.1016/0022-2836(81)90463-0,NA,7343686,1981-12-25
Elsevier,10.1016/0022-2836(85)90337-7,NA,3839022,1985-03-20
Elsevier,10.1016/0022-2836(87)90422-0,NA,3681988,1987-08-20
Elsevier,10.1016/0022-2836(90)90192-O,NA,1696318,1990-07-20
Elsevier,10.1016/0022-2836(91)90193-A,NA,2051488,1991-06-05
Elsevier,10.1016/0022-2836(91)90361-9,NA,1880803,1991-08-20
Elsevier,10.1016/0022-2836(92)90110-6,NA,1351949,1992-06-20
Elsevier,10.1016/0022-2836(92)90901-U,NA,1404364,1992-09-20
Elsevier,10.1016/0022-510X(76)90053-8,NA,932771,1976-05-31
Elsevier,10.1016/0022-510X(77)90087-9,NA,199712,1977-10-31
Elsevier,10.1016/0022-510X(79)90218-1,NA,512686,1979-12-31
Elsevier,10.1016/0022-510X(82)90031-4,NA,6298370,1982-12-31
Elsevier,10.1016/0022-510X(88)90214-6,NA,2465389,1988-12-31
Elsevier,10.1016/0022-510X(89)90102-0,NA,2524553,1989-04-30
Elsevier,10.1016/0022-510X(89)90128-7,NA,NA,1989-05-31
Elsevier,10.1016/0022-510X(92)90194-P,NA,1378089,1992-03-31
Elsevier,10.1016/0022-510X(93)90203-B,NA,7688036,1993-04-30
Elsevier,10.1016/0024-3205(79)90582-4,NA,NA,1979-12-31
Elsevier,10.1016/0025-5564(88)90014-4,NA,NA,1988-10-31
Elsevier,10.1016/0027-5107(92)90020-3,NA,1279392,1992-12-01
Elsevier,10.1016/0031-9384(95)02112-4,NA,8700962,1996-03-31
Elsevier,10.1016/0031-9384(95)02179-5,NA,8778892,1996-05-31
Elsevier,10.1016/0034-5288(91)90023-H,NA,1654584,1991-07-31
Elsevier,10.1016/0034-5288(91)90092-3,NA,NA,1991-11-30
Elsevier,10.1016/0034-5288(92)90131-K,NA,1334565,1992-11-30
Elsevier,10.1016/0034-5288(92)90150-Z,NA,NA,1992-11-30
Elsevier,10.1016/0034-5288(93)90076-R,NA,8235082,1993-09-30
Elsevier,10.1016/0034-5288(93)90114-U,NA,8284507,1993-11-30
Elsevier,10.1016/0034-5288(93)90133-Z,NA,8393209,1993-05-31
Elsevier,10.1016/0034-5288(95)90118-3,NA,7544905,1995-05-31
Elsevier,10.1016/0035-9203(77)90006-2,NA,888166,1977-12-31
Elsevier,10.1016/0035-9203(78)90308-5,NA,635983,1978-12-31
Elsevier,10.1016/0035-9203(79)90037-3,NA,394409,1979-12-31
Elsevier,10.1016/0035-9203(79)90038-5,NA,231336,1979-12-31
Elsevier,10.1016/0035-9203(86)90030-1,NA,3787687,1986-12-31
Elsevier,10.1016/0035-9203(86)90031-3,NA,NA,1986-12-31
Elsevier,10.1016/0035-9203(88)90034-X,NA,2855768,1988-12-31
Elsevier,10.1016/0035-9203(88)90247-7,NA,3051540,1988-02-29
Elsevier,10.1016/0035-9203(93)90119-B,NA,8236386,1993-06-30
Elsevier,10.1016/0040-4020(95)00216-U,NA,NA,1995-04-17
Elsevier,10.1016/0040-4039(91)80841-S,NA,NA,1991-01-07
Elsevier,10.1016/0040-4039(91)80845-W,NA,NA,1991-01-07
Elsevier,10.1016/0040-4039(96)00268-7,NA,NA,1996-03-25
Elsevier,10.1016/0041-008X(82)90107-7,NA,7064147,1982-01-31
Elsevier,10.1016/0041-008X(86)90444-8,NA,3753804,1986-01-31
Elsevier,10.1016/0041-008X(87)90129-3,NA,3660407,1987-09-30
Elsevier,10.1016/0041-008X(88)90042-7,NA,3368918,1988-05-31
Elsevier,10.1016/0041-008X(89)90089-6,NA,2763300,1989-08-31
Elsevier,10.1016/0041-008X(91)90129-3,NA,NA,1991-10-31
Elsevier,10.1016/0041-008X(92)90329-Q,NA,NA,1992-08-31
Elsevier,10.1016/0041-0101(87)90272-8,NA,NA,1987-12-31
Elsevier,10.1016/0041-0101(87)90273-X,NA,NA,1987-12-31
Elsevier,10.1016/0041-0101(87)90274-1,NA,NA,1987-12-31
Elsevier,10.1016/0041-0101(87)90275-3,NA,NA,1987-12-31
Elsevier,10.1016/0042-6822(70)90070-X,NA,4986314,1970-05-31
Elsevier,10.1016/0042-6822(70)90149-2,NA,4194173,1970-04-30
Elsevier,10.1016/0042-6822(70)90157-1,NA,NA,1970-04-30
Elsevier,10.1016/0042-6822(72)90062-1,NA,4623502,1972-05-31
Elsevier,10.1016/0042-6822(72)90172-9,NA,NA,1972-06-30
Elsevier,10.1016/0042-6822(73)90112-8,NA,4197414,1973-07-31
Elsevier,10.1016/0042-6822(73)90283-3,NA,4126840,1973-11-30
Elsevier,10.1016/0042-6822(76)90014-3,NA,NA,1976-11-30
Elsevier,10.1016/0042-6822(76)90053-2,NA,NA,1976-12-31
Elsevier,10.1016/0042-6822(76)90364-0,NA,820065,1976-06-30
Elsevier,10.1016/0042-6822(77)90126-X,NA,194396,1977-12-31
Elsevier,10.1016/0042-6822(77)90135-0,NA,NA,1977-12-31
Elsevier,10.1016/0042-6822(77)90204-5,NA,NA,1977-12-31
Elsevier,10.1016/0042-6822(77)90488-3,NA,855186,1977-04-30
Elsevier,10.1016/0042-6822(77)90489-5,NA,855187,1977-04-30
Elsevier,10.1016/0042-6822(77)90498-6,NA,193262,1977-04-30
Elsevier,10.1016/0042-6822(77)90514-1,NA,NA,1977-04-30
Elsevier,10.1016/0042-6822(78)90093-4,NA,27002,1978-05-15
Elsevier,10.1016/0042-6822(78)90247-7,NA,23604,1978-02-28
Elsevier,10.1016/0042-6822(78)90289-1,NA,211715,1978-07-15
Elsevier,10.1016/0042-6822(78)90465-8,NA,208240,1978-04-30
Elsevier,10.1016/0042-6822(79)90029-1,NA,NA,1979-12-31
Elsevier,10.1016/0042-6822(79)90467-7,NA,572112,1979-04-30
Elsevier,10.1016/0042-6822(79)90468-9,NA,572113,1979-04-30
Elsevier,10.1016/0042-6822(79)90469-0,NA,452421,1979-04-30
Elsevier,10.1016/0042-6822(79)90567-1,NA,228481,1979-10-30
Elsevier,10.1016/0042-6822(80)90058-6,NA,6158788,1980-09-30
Elsevier,10.1016/0042-6822(80)90517-6,NA,6243427,1980-01-30
Elsevier,10.1016/0042-6822(81)90027-1,NA,6259831,1981-04-15
Elsevier,10.1016/0042-6822(81)90081-7,NA,NA,1981-04-30
Elsevier,10.1016/0042-6822(81)90113-6,NA,7314448,1981-12-31
Elsevier,10.1016/0042-6822(81)90115-X,NA,7314449,1981-12-31
Elsevier,10.1016/0042-6822(81)90129-X,NA,NA,1981-12-31
Elsevier,10.1016/0042-6822(81)90178-1,NA,6267795,1981-09-30
Elsevier,10.1016/0042-6822(81)90245-2,NA,NA,1981-10-31
Elsevier,10.1016/0042-6822(81)90250-6,NA,7281517,1981-10-15
Elsevier,10.1016/0042-6822(81)90305-6,NA,6114592,1981-07-30
Elsevier,10.1016/0042-6822(81)90333-0,NA,NA,1981-07-30
Elsevier,10.1016/0042-6822(81)90449-9,NA,6258295,1981-01-30
Elsevier,10.1016/0042-6822(81)90464-5,NA,NA,1981-01-30
Elsevier,10.1016/0042-6822(82)90092-7,NA,6281976,1982-06-30
Elsevier,10.1016/0042-6822(82)90095-2,NA,6281979,1982-06-30
Elsevier,10.1016/0042-6822(82)90161-1,NA,NA,1982-01-30
Elsevier,10.1016/0042-6822(82)90354-3,NA,6283728,1982-04-30
Elsevier,10.1016/0042-6822(82)90424-X,NA,6278712,1982-01-15
Elsevier,10.1016/0042-6822(83)90106-X,NA,6196910,1983-10-30
Elsevier,10.1016/0042-6822(83)90110-1,NA,NA,1983-10-30
Elsevier,10.1016/0042-6822(83)90117-4,NA,6636541,1983-10-15
Elsevier,10.1016/0042-6822(83)90209-X,NA,NA,1983-03-31
Elsevier,10.1016/0042-6822(83)90211-8,NA,6301146,1983-03-31
Elsevier,10.1016/0042-6822(83)90266-0,NA,6310865,1983-07-30
Elsevier,10.1016/0042-6822(83)90283-0,NA,NA,1983-07-30
Elsevier,10.1016/0042-6822(83)90498-1,NA,6318433,1983-12-31
Elsevier,10.1016/0042-6822(83)90525-1,NA,NA,1983-12-31
Elsevier,10.1016/0042-6822(83)90548-2,NA,NA,1983-11-30
Elsevier,10.1016/0042-6822(84)90032-1,NA,6199888,1984-01-30
Elsevier,10.1016/0042-6822(84)90033-3,NA,6199889,1984-01-30
Elsevier,10.1016/0042-6822(84)90191-0,NA,6330977,1984-06-30
Elsevier,10.1016/0042-6822(84)90221-6,NA,6091331,1984-09-30
Elsevier,10.1016/0042-6822(84)90227-7,NA,6091333,1984-09-30
Elsevier,10.1016/0042-6822(84)90275-7,NA,6324477,1984-04-15
Elsevier,10.1016/0042-6822(84)90312-X,NA,6100577,1984-04-30
Elsevier,10.1016/0042-6822(84)90322-2,NA,NA,1984-04-30
Elsevier,10.1016/0042-6822(84)90335-0,NA,6093379,1984-11-30
Elsevier,10.1016/0042-6822(84)90375-1,NA,NA,1984-12-31
Elsevier,10.1016/0042-6822(84)90391-X,NA,NA,1984-12-31
Elsevier,10.1016/0042-6822(84)90401-X,NA,NA,1984-03-31
Elsevier,10.1016/0042-6822(84)90420-3,NA,6322437,1984-02-29
Elsevier,10.1016/0042-6822(84)90439-2,NA,6322429,1984-02-29
Elsevier,10.1016/0042-6822(85)90100-X,NA,2997997,1985-05-31
Elsevier,10.1016/0042-6822(85)90102-3,NA,2997998,1985-05-31
Elsevier,10.1016/0042-6822(85)90112-6,NA,2998004,1985-05-31
Elsevier,10.1016/0042-6822(85)90125-4,NA,NA,1985-05-31
Elsevier,10.1016/0042-6822(85)90185-0,NA,2983498,1985-02-28
Elsevier,10.1016/0042-6822(85)90207-7,NA,NA,1985-08-31
Elsevier,10.1016/0042-6822(85)90225-9,NA,2998070,1985-11-30
Elsevier,10.1016/0042-6822(85)90250-8,NA,3002015,1985-03-31
Elsevier,10.1016/0042-6822(85)90345-9,NA,2997991,1985-04-30
Elsevier,10.1016/0042-6822(86)90047-4,NA,3010553,1986-06-30
Elsevier,10.1016/0042-6822(86)90054-1,NA,3705466,1986-06-30
Elsevier,10.1016/0042-6822(86)90062-0,NA,NA,1986-06-30
Elsevier,10.1016/0042-6822(86)90102-9,NA,3008432,1986-05-31
Elsevier,10.1016/0042-6822(86)90187-X,NA,3776101,1986-11-30
Elsevier,10.1016/0042-6822(86)90241-2,NA,NA,1986-12-31
Elsevier,10.1016/0042-6822(86)90305-3,NA,3083580,1986-04-30
Elsevier,10.1016/0042-6822(87)90134-6,NA,2446421,1987-12-31
Elsevier,10.1016/0042-6822(87)90136-X,NA,2825415,1987-12-31
Elsevier,10.1016/0042-6822(87)90142-5,NA,2825419,1987-12-31
Elsevier,10.1016/0042-6822(87)90145-0,NA,2446423,1987-12-31
Elsevier,10.1016/0042-6822(87)90162-0,NA,NA,1987-12-31
Elsevier,10.1016/0042-6822(87)90168-1,NA,2960074,1987-11-30
Elsevier,10.1016/0042-6822(87)90275-3,NA,3029975,1987-04-30
Elsevier,10.1016/0042-6822(87)90293-5,NA,3029985,1987-04-30
Elsevier,10.1016/0042-6822(87)90303-5,NA,3029990,1987-04-30
Elsevier,10.1016/0042-6822(87)90305-9,NA,NA,1987-04-30
Elsevier,10.1016/0042-6822(87)90312-6,NA,3029965,1987-03-31
Elsevier,10.1016/0042-6822(87)90412-0,NA,3027981,1987-02-28
Elsevier,10.1016/0042-6822(87)90413-2,NA,3027982,1987-02-28
Elsevier,10.1016/0042-6822(87)90414-4,NA,3027983,1987-02-28
Elsevier,10.1016/0042-6822(88)90075-X,NA,3142146,1988-11-30
Elsevier,10.1016/0042-6822(88)90097-9,NA,3201747,1988-12-31
Elsevier,10.1016/0042-6822(88)90137-7,NA,NA,1988-12-31
Elsevier,10.1016/0042-6822(88)90147-X,NA,2842958,1988-09-30
Elsevier,10.1016/0042-6822(88)90237-1,NA,2831651,1988-03-31
Elsevier,10.1016/0042-6822(88)90262-0,NA,2831663,1988-03-31
Elsevier,10.1016/0042-6822(88)90267-X,NA,2833007,1988-04-30
Elsevier,10.1016/0042-6822(88)90503-X,NA,2845647,1988-10-31
Elsevier,10.1016/0042-6822(88)90512-0,NA,2845655,1988-10-31
Elsevier,10.1016/0042-6822(88)90526-0,NA,2845661,1988-10-31
Elsevier,10.1016/0042-6822(88)90541-7,NA,NA,1988-10-31
Elsevier,10.1016/0042-6822(88)90560-0,NA,3369089,1988-06-30
Elsevier,10.1016/0042-6822(88)90581-8,NA,2841792,1988-08-31
Elsevier,10.1016/0042-6822(88)90585-5,NA,2841794,1988-08-31
Elsevier,10.1016/0042-6822(88)90611-3,NA,NA,1988-08-31
Elsevier,10.1016/0042-6822(88)90631-9,NA,2834866,1988-05-31
Elsevier,10.1016/0042-6822(89)90048-2,NA,2538027,1989-03-31
Elsevier,10.1016/0042-6822(89)90050-0,NA,2922924,1989-03-31
Elsevier,10.1016/0042-6822(89)90058-5,NA,2466369,1989-03-31
Elsevier,10.1016/0042-6822(89)90060-3,NA,2538033,1989-03-31
Elsevier,10.1016/0042-6822(89)90061-5,NA,2538034,1989-03-31
Elsevier,10.1016/0042-6822(89)90161-X,NA,2523178,1989-04-30
Elsevier,10.1016/0042-6822(89)90181-5,NA,NA,1989-04-30
Elsevier,10.1016/0042-6822(89)90415-7,NA,2535900,1989-01-31
Elsevier,10.1016/0042-6822(89)90446-7,NA,2543129,1989-06-30
Elsevier,10.1016/0042-6822(89)90519-9,NA,NA,1989-07-31
Elsevier,10.1016/0042-6822(89)90520-5,NA,2545027,1989-07-31
Elsevier,10.1016/0042-6822(89)90523-0,NA,2741339,1989-07-31
Elsevier,10.1016/0042-6822(89)90573-4,NA,2556844,1989-12-31
Elsevier,10.1016/0042-6822(89)90579-5,NA,2556846,1989-12-31
Elsevier,10.1016/0042-6822(89)90581-3,NA,2556847,1989-12-31
Elsevier,10.1016/0042-6822(89)90582-5,NA,2688301,1989-12-31
Elsevier,10.1016/0042-6822(89)90589-8,NA,2556852,1989-12-31
Elsevier,10.1016/0042-6822(89)90598-9,NA,NA,1989-12-31
Elsevier,10.1016/0042-6822(89)90619-3,NA,2548329,1989-08-31
Elsevier,10.1016/0042-6822(89)90622-3,NA,2788328,1989-08-31
Elsevier,10.1016/0042-6822(90)90045-S,NA,NA,1990-06-30
Elsevier,10.1016/0042-6822(90)90051-R,NA,2294646,1990-01-31
Elsevier,10.1016/0042-6822(90)90057-X,NA,2152996,1990-01-31
Elsevier,10.1016/0042-6822(90)90094-8,NA,1689525,1990-02-28
Elsevier,10.1016/0042-6822(90)90114-7,NA,2154893,1990-02-28
Elsevier,10.1016/0042-6822(90)90115-8,NA,2305554,1990-02-28
Elsevier,10.1016/0042-6822(90)90122-8,NA,NA,1990-02-28
Elsevier,10.1016/0042-6822(90)90178-T,NA,NA,1990-12-31
Elsevier,10.1016/0042-6822(90)90231-F,NA,2158698,1990-05-31
Elsevier,10.1016/0042-6822(90)90257-R,NA,2184576,1990-05-31
Elsevier,10.1016/0042-6822(90)90259-T,NA,2184577,1990-05-31
Elsevier,10.1016/0042-6822(90)90281-U,NA,1699351,1990-11-30
Elsevier,10.1016/0042-6822(90)90316-J,NA,2171216,1990-11-30
Elsevier,10.1016/0042-6822(90)90332-L,NA,2219698,1990-10-31
Elsevier,10.1016/0042-6822(90)90385-5,NA,2117827,1990-09-30
Elsevier,10.1016/0042-6822(90)90419-R,NA,2158179,1990-04-30
Elsevier,10.1016/0042-6822(90)90426-R,NA,2158180,1990-04-30
Elsevier,10.1016/0042-6822(90)90439-X,NA,2158184,1990-04-30
Elsevier,10.1016/0042-6822(90)90452-W,NA,NA,1990-04-30
Elsevier,10.1016/0042-6822(90)90471-3,NA,2141203,1990-07-31
Elsevier,10.1016/0042-6822(90)90476-8,NA,2353453,1990-07-31
Elsevier,10.1016/0042-6822(90)90513-Q,NA,2142556,1990-08-31
Elsevier,10.1016/0042-6822(90)90521-R,NA,2164725,1990-08-31
Elsevier,10.1016/0042-6822(90)90529-Z,NA,2164727,1990-08-31
Elsevier,10.1016/0042-6822(90)90530-5,NA,NA,1990-08-31
Elsevier,10.1016/0042-6822(90)90546-4,NA,2371780,1990-08-31
Elsevier,10.1016/0042-6822(90)90563-7,NA,NA,1990-08-31
Elsevier,10.1016/0042-6822(91)90014-3,NA,1845820,1991-01-31
Elsevier,10.1016/0042-6822(91)90026-8,NA,1984649,1991-01-31
Elsevier,10.1016/0042-6822(91)90045-D,NA,1984658,1991-01-31
Elsevier,10.1016/0042-6822(91)90056-H,NA,1984666,1991-01-31
Elsevier,10.1016/0042-6822(91)90071-I,NA,NA,1991-02-28
Elsevier,10.1016/0042-6822(91)90075-M,NA,1989386,1991-02-28
Elsevier,10.1016/0042-6822(91)90110-W,NA,NA,1991-02-28
Elsevier,10.1016/0042-6822(91)90121-Q,NA,2053298,1991-07-31
Elsevier,10.1016/0042-6822(91)90134-W,NA,2053281,1991-07-31
Elsevier,10.1016/0042-6822(91)90135-X,NA,1711257,1991-07-31
Elsevier,10.1016/0042-6822(91)90144-Z,NA,2053284,1991-07-31
Elsevier,10.1016/0042-6822(91)90145-2,NA,2053286,1991-07-31
Elsevier,10.1016/0042-6822(91)90148-5,NA,1905078,1991-07-31
Elsevier,10.1016/0042-6822(91)90154-4,NA,NA,1991-07-31
Elsevier,10.1016/0042-6822(91)90163-6,NA,2053295,1991-07-31
Elsevier,10.1016/0042-6822(91)90423-9,NA,NA,1991-10-31
Elsevier,10.1016/0042-6822(91)90437-G,NA,1887589,1991-10-31
Elsevier,10.1016/0042-6822(91)90484-S,NA,1994574,1991-03-31
Elsevier,10.1016/0042-6822(91)90499-2,NA,1847259,1991-03-31
Elsevier,10.1016/0042-6822(91)90544-L,NA,1660201,1991-12-31
